name,page,dob,status,gender
"Alam, Mr Anthony Alexander",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1577,23 Jan 1896,Deceased,Male
"Aldcorn, Dr Andrew",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=241,01 Jan 1792,Deceased,Male
"Alderson, Mr William Maddison",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=410,07 May 1814,Deceased,Male
"Alexander, Mr John",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=137,,,Male
"Alexander, Mr Maurice",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=492,01 Jan 1820,Deceased,Male
"Alison, Mr William",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=996,01 Jan 1856,Deceased,Male
"Allan, The Hon. Pamela Diane",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=2079,04 Feb 1953,,Female
"Alldis, Mr Septimus Denbigh",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1430,05 Feb 1886,Deceased,Male
"Allen, Mr Alfred",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=738,01 Jan 1839,Deceased,Male
"Allen, Mr Edward",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1101,05 Mar 1862,Deceased,Male
"Allen, Mr George",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=275,23 Nov 1800,Deceased,Male
"Allen, Mr William Bell",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=382,01 Jan 1812,Deceased,Male
"Allen, Mr William Johnston",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=684,01 Jan 1835,Deceased,Male
"Allen, Sir George Wigram",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=543,16 May 1824,Deceased,Male
"Amery, The Hon. Richard Sanderson",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=2139,31 Mar 1951,,Male
"Anderson, Mr Charles Wilson",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1773,16 Feb 1918,Deceased,Male
"Anderson, Mr David More",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1149,02 Feb 1865,Deceased,Male
"Anderson, Mr George",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=842,01 Nov 1844,Deceased,Male
"Anderson, Mr James",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=2003,08 Aug 1943,Deceased,Male
"Anderson, Mr Keith William",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1755,23 Oct 1916,Deceased,Male
"Anderson, Mr Rowland Joseph",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1246,30 Sep 1872,Deceased,Male
"Anderson, Mr Walter",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1153,07 Jun 1865,Deceased,Male
"Anderson, Mrs Kathleen Harris",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1806,01 Nov 1921,Deceased,Female
"Anderson, Sir Kenneth McColl",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1702,11 Oct 1909,Deceased,Male
"Anderson, The Hon. Peter Thomas",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=2043,23 Nov 1947,,Male
"Andrews, Mr Allan",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1974,15 Sep 1940,,Male
"Andrews, Mr Joseph",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=403,01 Jan 1814,Deceased,Male
"Andrews, Ms Marie Therese",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=2121,09 Dec 1940,,Female
"Annesley, Mr Graham",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=2201,26 May 1957,,Male
"Aplin, Mr Gregory John",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=17,09 Oct 1952,,Male
"Aquilina, Mr Anthony Saviour",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=2062,01 Jun 1950,Deceased,Male
"Aquilina, The Hon. John Joseph",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=2143,12 Mar 1950,,Male
"Arblaster, Mr David Amos",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1892,16 Nov 1929,Deceased,Male
"Archer, Mr George Stacher",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1355,04 Apr 1881,Deceased,Male
"Archer, Mr William",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=636,10 Feb 1831,Deceased,Male
"Ardill, Mr George Edward",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1488,18 Oct 1889,Deceased,Male
"Arena, Mrs Franca",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1946,23 Aug 1937,,Female
"Arkell, Mr (Frank) Francis Neville",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1930,13 Sep 1935,Deceased,Male
"Arkins, Mr James Guy Dalley",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1472,14 Oct 1888,Deceased,Male
"Armstrong, Mr Alexander Ewan",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1752,15 Jun 1916,Deceased,Male
"Armstrong, Mr Thomas (1)",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1427,26 Dec 1885,Deceased,Male
"Armstrong, Mr Thomas (2)",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1648,13 Sep 1903,Deceased,Male
"Armstrong, The Hon. Ian Morton",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1945,17 Jul 1937,,Male
"Arnold, Mr William Munnings",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=490,26 Oct 1819,Deceased,Male
"Arthur, Dr Richard",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1159,25 Oct 1865,Deceased,Male
"Arthur, Mr Joshua George",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1666,27 Jan 1906,Deceased,Male
"Asher, Mr Morris",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=471,03 Jun 1818,Deceased,Male
"Ashford, The Hon. William George",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1265,09 Aug 1874,Deceased,Male
"Ashton, Mr Alan John",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=2150,03 Jun 1952,,Male
"Ashton, Mr James",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1140,08 May 1864,Deceased,Male
"Askin, Sir Robert (Robin William)",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1683,04 Apr 1907,Deceased,Male
"Aston, Mr Raymond William",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=2006,24 Sep 1943,Deceased,Male
"Atkinson, Mr James Henry",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=493,01 Jan 1820,Deceased,Male
"Backhouse, Mr Benjamin",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=594,01 Jan 1829,Deceased,Male
"Baddeley, Mr John Marcus",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1364,20 Nov 1881,Deceased,Male
"Badgery, Mr Francis Arthur",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=948,01 Jan 1852,Deceased,Male
"Badgery, Mr Henry Septimus",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=772,09 Dec 1840,Deceased,Male
"Bagnall, Mr William Roy Clifford",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1372,10 Apr 1882,Deceased,Male
"Bailey, Mr John",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1230,14 Jun 1871,Deceased,Male
"Baird, Mr (Mike) Michael Bruce",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=40,01 Apr 1968,,Male
"Baird, Mr Bruce George",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1984,28 Feb 1942,,Male
"Baker, Mr Ezekiel Alexander",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=538,01 Dec 1823,Deceased,Male
"Baldwin, Mr Peter Jeremy",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=2069,12 Apr 1951,,Male
"Ball, Mr Edward Joseph",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=579,23 Sep 1827,Deceased,Male
"Ball, The Hon. Richard Thomas",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1031,14 Sep 1857,Deceased,Male
"Bannon, Mr Brian Joseph",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1899,22 Aug 1930,Deceased,Male
"Barbour, Mr Robert",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=569,01 Jan 1827,Deceased,Male
"Barham, Ms Jan",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=86,,,Female
"Barker, Mr Thomas",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=272,25 Mar 1799,Deceased,Male
"Barnes, Mr John Frederick",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=722,01 Jan 1838,Deceased,Male
"Barney, Lieutenant-Colonel George",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=243,19 May 1792,Deceased,Male
"Barnier, Mr Gordon Arthur",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1873,14 Apr 1928,Deceased,Male
"Barr, Mr David",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=2028,12 Jul 1946,,Male
"Barraclough, The Hon. Lindley John Forbes",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1859,03 Sep 1926,Deceased,Male
"Barron, Mrs Evelyn",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1607,24 Oct 1898,Deceased,Female
"Bartlett, Mr John Richard",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1972,27 Jul 1949,Deceased,Male
"Barton, Mr Charles Hampden",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=907,08 Jul 1848,Deceased,Male
"Barton, Mr Russell",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=610,01 Jan 1830,Deceased,Male
"Barton, Sir Edmund",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=920,18 Jan 1849,Deceased,Male
"Bassett, Mr Bart Edward",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=2211,04 Mar 1961,,Male
"Bassett, Mr George Douglas",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1460,28 Jan 1888,Deceased,Male
"Bate, Mr Henry Jefferson Percival",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1668,05 Mar 1906,Deceased,Male
"Bate, Mr Henry John",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1358,19 Apr 1881,Deceased,Male
"Baumann, Mr Craig Asbjorn",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=2186,30 Apr 1953,,Male
"Bavin, Sir Thomas Rainsford",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1262,05 May 1874,Deceased,Male
"Bavister, Mr Thomas",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=925,01 Jan 1850,Deceased,Male
"Bawden, Mr Thomas",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=666,01 Dec 1833,Deceased,Male
"Baxter, Mr Alexander Macduff",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=269,25 Jun 1798,Deceased,Male
"Bayley, Mr Lyttleton Holyoake",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=577,06 May 1827,Deceased,Male
"Beale, Mr Rupert Noel",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1492,24 Dec 1889,Deceased,Male
"Beale, The Hon. Jack Gordon",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1765,17 Jul 1917,Deceased,Male
"Beamer, The Hon. Diane",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=2140,15 Jul 1960,,Female
"Beck, Mr Donald Frederick Charles",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1935,21 Mar 1936,,Male
"Beckroge, Mr (Bill) William Harmon",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=2013,10 Dec 1944,,Male
"Bedford, The Hon. Eric Lance",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1872,19 Feb 1928,Deceased,Male
"Beeby, Sir George Stephenson",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1209,23 May 1869,Deceased,Male
"Beeston, Mr Joseph Lievesley",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1045,01 Jan 1859,Deceased,Male
"Begg, Mr Colin Elly",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1760,31 Jan 1917,Deceased,Male
"Bell, Mr Archibald (1)",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=212,01 Jan 1773,Deceased,Male
"Bell, Mr Archibald (2)",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=300,01 Jan 1804,Deceased,Male
"Bell, Mr David",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=588,17 Apr 1828,Deceased,Male
"Bennett, Mr Alfred Ernest",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1675,25 Jul 1906,Deceased,Male
"Bennett, Mr Charles Edward",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1549,05 Mar 1894,Deceased,Male
"Bennett, Mr Hanley",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=414,01 Jan 1815,Deceased,Male
"Bennett, Mr Walter",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1138,11 Mar 1864,Deceased,Male
"Berry, Mr Alexander",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=219,30 Nov 1781,Deceased,Male
"Berry, Mr David John",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=2070,07 Jun 1951,,Male
"Besseling, Mr Peter Edward",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=2196,08 Mar 1970,,Male
"Best, Mr Edmund Carncross",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1206,26 Mar 1869,Deceased,Male
"Bettington, Mr James Brindley",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=259,01 Jan 1796,Deceased,Male
"Beyers, Mr Hugo Louis",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=848,01 Jan 1845,Deceased,Male
"Bigge, Mr Francis Edward",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=494,01 Jan 1820,Deceased,Male
"Bignold, The Hon. Marie May",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1865,14 Sep 1927,Deceased,Female
"Binks, Mr Alfred Noble",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1258,11 Oct 1873,Deceased,Male
"Birt, Mr John Edward",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1259,11 Dec 1873,Deceased,Male
"Black, Mr George Muir",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=979,15 Feb 1854,Deceased,Male
"Black, Mr Ivan Carlisle",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1730,06 Jul 1913,Deceased,Male
"Black, Mr John",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=459,01 Dec 1817,Deceased,Male
"Black, Mr Peter Laurence",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=2001,14 Jun 1943,,Male
"Black, Mr Reginald James",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=856,19 Mar 1845,Deceased,Male
"Blackmore, Mr Peter Terrence",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=2017,11 Feb 1945,,Male
"Blair, The Hon. Niall Mark",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=90,22 May 1977,,Male
"Blake, Mr Isidore John",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=383,01 Jan 1812,Deceased,Male
"Bland, Dr William",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=235,05 Nov 1789,Deceased,Male
"Blanksby, Mr James",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1018,01 Jan 1857,Deceased,Male
"Blaxland, Mr John (1)",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=209,04 Jan 1769,Deceased,Male
"Blaxland, Mr John (2)",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=271,01 Jan 1799,Deceased,Male
"Bligh, Mr James William",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=350,01 Jan 1810,Deceased,Male
"Bloomfield, Mr Henry Keane",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=138,,Deceased,Male
"Bodel, Mr John",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=667,01 Jan 1834,Deceased,Male
"Bodkin, Mr Joseph Anthony",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1638,11 Aug 1902,Deceased,Male
"Boland, Mr Norman Thomas",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1619,31 Mar 1900,Deceased,Male
"Bolton, Mr Alexander Thorley",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=900,11 Oct 1847,Deceased,Male
"Books, Mr John Cameron",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1982,21 Jun 1941,Deceased,Male
"Booth, Mr George",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1517,19 Mar 1891,Deceased,Male
"Booth, Mr John",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=522,27 Feb 1822,Deceased,Male
"Booth, Mr John David",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=2066,04 Nov 1950,Deceased,Male
"Booth, Mr Robert",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=944,24 May 1851,Deceased,Male
"Booth, Mr Robert Coulter",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=868,01 Jan 1846,Deceased,Male
"Booth, The Hon. Kenneth George",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1855,23 Feb 1926,Deceased,Male
"Borger, Mr David Lawrence",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=2192,07 Sep 1969,,Male
"Boston, Mr Walter James",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1261,22 Apr 1874,Deceased,Male
"Bowen, Mr Fred William",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1677,22 Sep 1906,Deceased,Male
"Bowen, Mr Lionel Frost",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1818,28 Dec 1922,Deceased,Male
"Bowes, Mr John Wesley",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=814,21 Jul 1843,Deceased,Male
"Bowker, Dr Richard Ryther Steer",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=429,30 Aug 1815,Deceased,Male
"Bowman, Dr James",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=221,01 Jan 1784,Deceased,Male
"Bowman, Mr Alexander",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=723,01 Jan 1838,Deceased,Male
"Bowman, Mr Donald John",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1938,25 May 1936,Deceased,Male
"Bowman, Mr George",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=256,01 Jan 1795,Deceased,Male
"Bowman, Mr William",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=283,11 Dec 1800,Deceased,Male
"Boyce, Mr Francis Stewart",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1243,26 Jun 1872,Deceased,Male
"Boyd, Mr Benjamin",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=294,01 Jan 1803,Deceased,Male
"Boyd, Mr John Charles",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1807,03 Dec 1921,Deceased,Male
"Boyd, Mr Thomas Elder",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=286,01 Jan 1802,Deceased,Male
"Braddon, Sir Henry Yule",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1121,27 Apr 1863,Deceased,Male
"Brading, Mr Ralph Charles",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1919,31 Jan 1934,,Male
"Bradley, Mr Walter",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=705,01 Nov 1836,Deceased,Male
"Bradley, Mr William",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=279,01 Jun 1800,Deceased,Male
"Bradley, Mr William James",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1357,12 Apr 1881,Deceased,Male
"Brain, Mr George William",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1533,18 Jan 1893,Deceased,Male
"Braund, Lieutenant-Colonel George Frederick",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1173,13 Jul 1866,Deceased,Male
"Breen, Mr Peter James",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=2042,04 Nov 1947,,Male
"Brenan, Mr John Ryan",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=267,01 Jan 1798,Deceased,Male
"Brennan, Mr William Edward",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1156,10 Sep 1865,Deceased,Male
"Brenner, The Hon. George",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1888,17 Jun 1929,,Male
"Brereton, The Hon. (Laurie) Laurence John",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=2025,29 May 1946,,Male
"Brewer, Mr Ronald Alfred St Clair",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1800,08 Apr 1921,Deceased,Male
"Brewster, Mr Edward Jones",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=139,,,Male
"Bridges, Mr Arthur Dalgety",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1632,19 Nov 1901,Deceased,Male
"Bridges, Mr Charles Brill",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1352,07 Mar 1881,Deceased,Male
"Briner, Mr George Stuart",https://www.parliament.nsw.gov.au/members/formermembers/Pages/former-member-details.aspx?pk=1102,05 Apr 1862,Deceased,Male
