name,number,bio
Mr Anthony (Tony) Perrett,1171511689,"
    
        
    
        
            Electorate
            Gympie -  View Map (.pdf)
        
        
            Party
            Liberal National Party (LNP)
        
            Date of Election
            31 January 2015
        
            SpeechesInaugural |  All Speeches
        

        Websitehttp://www.tonyperrett.com.au/ 
    
    
    
    
        Contact details
    

        
        

Electorate Office Postal AddressPO Box 1144GYMPIE QLD 4570

Electorate Office Address58 Channon StreetGYMPIE QLD 4570

Phone: (07) 5329 5100Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: 
Shadow Minister for Agricultural Industry Development and Fisheries and Forestry: 15 Dec 2017
		
    
        Past:
Member, Infrastructure, Planning and Natural Resources Committee: 14 Feb 2017 - 24 Nov 2017
Deputy Opposition Whip: 14 Feb 2017 - 11 Oct 2017
Member, Agriculture and Environment Committee: 10 May 2016 - 14 Feb 2017
Member, Finance and Administration Committee: 18 Feb 2016 - 10 May 2016
Member, Legal Affairs and Community Safety Committee: 27 Mar 2015 - 18 Feb 2016



    

        

    
   
        
    

    
     



    
    


"
Mr Duncan Pegg,425411558,"
    
        
    
        
            Electorate
            Stretton -  View Map (.pdf)
        
        
            Party
            Australian Labor Party (ALP)
        
            Date of Election
            31 January 2015
        
            SpeechesInaugural |  All Speeches
        

        
    
    
    
    
        Contact details
    

        
        


Electorate Office AddressUnit 5, 62 Pinelands RoadSUNNYBANK HILLS QLD 4109

Phone: (07) 3414 3110Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: 
Chair, State Development, Tourism, Innovation and Manufacturing Committee: 21 May 2020
		
    
        Past:
Chair, Innovation, Tourism Development and Environment Committee: 15 Feb 2018 - 20 May 2020
Chair, Legal Affairs and Community Safety Committee: 14 Feb 2017 - 24 Nov 2017
Member, Ethics Committee: 29 Nov 2016 - 14 Feb 2017
Chair, Agriculture and Environment Committee: 29 Nov 2016 - 14 Feb 2017
Deputy Chair, Parliamentary Crime and Corruption Committee: 22 Feb 2016 - 29 Nov 2016
Member, Finance and Administration Committee: 27 Mar 2015 - 29 Nov 2016
Member, Parliamentary Crime and Corruption Committee: 18 Feb 2016 - 21 Feb 2016
Member, Ethics Committee: 3 Dec 2015 - 18 Feb 2016



    

        

    
   
        
    

    Personal
     
            
               Birth Date: 
            
                27 June 1980
            
        
            
               Education: 
            
                Bachelor of Commerce, Bachelor of Laws (Hons), Master of Laws
            
        



    
    


"
Ms Joan Pease,3080924249,"
    
        
    
        
            Electorate
            Lytton -  View Map (.pdf)
        
        
            Party
            Australian Labor Party (ALP)
        
            Date of Election
            31 January 2015
        
            SpeechesInaugural |  All Speeches
        

        
    
    
    
    
        Contact details
    

        
        

Electorate Office Postal AddressPO Box 719WYNNUM QLD 4178

Electorate Office Address100 Edith StreetWYNNUM QLD 4178

Phone: (07) 3915 1100Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: 
Member, Health, Communities, Disability Services and Domestic and Family Violence Prevention Committee: 15 Feb 2018
Senior Government Whip: 15 Dec 2017

		
    
        Past:
Member, Parliamentary Crime and Corruption Committee: 15 Feb 2018 - 4 Mar 2019
Member, Public Works and Utilities Committee: 14 Feb 2017 - 24 Nov 2017
Member, Transportation and Utilities Committee: 29 Nov 2016 - 14 Feb 2017
Member, Legal Affairs and Community Safety Committee: 18 Feb 2016 - 29 Nov 2016
Member, Infrastructure, Planning and Safety Committee: 18 Feb 2016 - 11 May 2016
Member, Education, Tourism and Small Business Committee: 27 Mar 2015 - 18 Feb 2016
Member, Parliamentary Crime and Corruption Committee: 27 Mar 2015 - 18 Feb 2016



    
		
        Career
    
	

        Prior to election - Adult Teacher/Trainer/Educator. Electorate Officer. Advocacy and Advice Worker.

    
   
        
    

    Personal
     
            
               Birth Date: 
            
                15 September 1961 (Brisbane, Queensland, Australia)
            
        
            
               Education: 
            
                Bachelor Further Education and Training (BFET)
            
        



    
    


"
Hon Annastacia Palaszczuk,2980517905,"
    
        
    
        
            Electorate
            Inala -  View Map (.pdf)
        
        
            Party
            Australian Labor Party (ALP)
        
            Date of Election
            9 September 2006
        
            SpeechesInaugural |  All Speeches
        

        Websitehttp://www.thepremier.qld.gov.au/ 
    
    
    
    
        Contact details
    

        

Ministerial Office Postal AddressPO Box 15185CITY EAST   QLD  4002

Ministerial Office1 William StreetBRISBANE  QLD  4000

Phone: (07) 3719 7000Fax: n/aEmail: [email protected]
        
Electorate Office Postal AddressPO Box 75INALA QLD 4077

Electorate Office AddressShop 101 Business Centre, Richlands PlazaCnr Archerfield & Old ProgressRICHLANDS QLD 4077

Phone: (07) 3737 2100Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: 
Premier and Minister for Trade: 12 Dec 2017
		
    
        Past:
Premier and Minister for the Arts: 16 Feb 2015 - 11 Dec 2017
Leader of the Opposition, Shadow Minister for Employment and Industrial Relations: 5 Aug 2014 - 2015
Leader of the Opposition, Shadow Minister for Justice and Attorney-General; Industrial Relations; Tourism, Major Events and Commonwealth Games: 10 May 2012 - 5 Aug 2014
Shadow Minister for Education, Training and Employment: 10 May 2012 - 4 Mar 2014
Member, Education and Innovation Committee: 18 May 2012 - 12 Feb 2013
Minister for Transport: 21 Feb 2011 - 26 Mar 2012
Minister for Multicultural Affairs: 26 Mar 2009 - 26 Mar 2012
Minister for Disability Services: 26 Mar 2009 - 21 Feb 2011
Member, Members' Ethics and Parliamentary Privileges Committee: 11 Nov 2008 - 20 Mar 2009
Parliamentary Secretary to the Minister for Main Roads and Local Government: 9 Oct 2008 - 20 Mar 2009
Chair, Estimates Committee C: 2008 - 2008
Chair, Members' Ethics and Parliamentary Privileges Committee: 1 Nov 2006 - 12 Nov 2008
Temporary Speaker/Deputy Speaker: 1 Nov 2006 - 12 Nov 2008
Chair, Estimates Committee E: 2007 - 2007
Member, Public Works Committee: 11 Oct 2006 - 1 Nov 2006



    
		
        Career
    
	

        Prior to election – Senior Ministerial Advisor to Beattie Labor Government (1998 – 2006) – (Including Minister for Communities, Disabilities and Seniors, Minister for the Environment and Minister for Mines and Energy); Former Adviser to Hon David Beddall (Commonwealth Minister); Tutor, Australian National University; Tutor, Aboriginal and Island Students Service (UQ); Retail Part-time Sales Assistant. Senator, (UQ); Arts Representative (UQ); Member, Academic Board (UQ); Former President, Queensland Labor Lawyers; Former National President, Labor Lawyers; Former Secretary, London House Goodenough Club. 

    
   
        
            Official Awards:  2016 Queensland recipient of the Women and Leadership Australia’s Award for Excellence in Women’s Leadership.
2018 Recipient of the Biotechnology Innovation Organisation (BIO) Award for Leadership.
 
        
            Community Activity:  Patron, Inala Community House; Patron, Oxley Darra Pony Club; Patron, Project Love & Care.  
        
    

    Personal
     
            
               Birth Date: 
            
                25 July 1969 (Brisbane)
            
        
            
               Education: 
            
                St Mary’s Catholic College, Ipswich; Bachelor of Arts (UQ); Master of Arts (Hons) (University of London); Bachelor of Laws (UQ); Graduate Diploma of Legal Practice (ANU); British Council Chevening Scholar.
            
        



    
    


"
Hon Coralee O'Rourke,2540388086,"
    
        
    
        
            Electorate
            Mundingburra -  View Map (.pdf)
        
        
            Party
            Australian Labor Party (ALP)
        
            Date of Election
            31 January 2015
        
            SpeechesInaugural |  All Speeches
        

        
    
    
    
    
        Contact details
    

        

Ministerial Office Postal AddressGPO Box 806BRISBANE  QLD  4001

Ministerial Office1 William StreetBRISBANE  QLD  4000

Phone: (07) 3719 7170Fax: n/aEmail: [email protected]
        
Electorate Office Postal AddressPO Box 1409AITKENVALE QLD 4814

Electorate Office AddressShop 3, 198 Nathan StreetAITKENVALE QLD 4814

Phone: (07) 4766 8100Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: 
Minister for Communities and Minister for Disability Services and Seniors: 12 Dec 2017
		
    
        Past:
Minister for Disability Services, Minister for Seniors and Minister Assisting the Premier on North Queensland: 16 Feb 2015 - 11 Dec 2017


    

        

    
   
        
    

    
     



    
    


"
Mr Barry O'Rourke,1115979287,"
    
        
    
        
            Electorate
            Rockhampton -  View Map (.pdf)
        
        
            Party
            Australian Labor Party (ALP)
        
            Date of Election
            25 November 2017
        
            SpeechesInaugural |  All Speeches
        

        
    
    
    
    
        Contact details
    

        
        

Electorate Office Postal AddressPO Box 148ROCKHAMPTON QLD 4700

Electorate Office AddressLevel 1, 192 Quay StreetROCKHAMPTON QLD 4700

Phone: (07) 4994 2100Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: 
Member, Health, Communities, Disability Services and Domestic and Family Violence Prevention Committee: 15 Feb 2018
		
        Career
    
	

        I commenced work as a filing clerk in Queensland Health at 16 years of age in 1980.  Over the ensuing 37 years, I spent the bulk of my career in the Department of Housing and I was promoted through numerous jobs across Queensland to the position of Regional Director, Central Queensland and North Coast Region for the Department of Housing and Public Works.
Responsibilities included aboriginal housing, urban public housing planning, construction, maintenance and tenancy management.  Job locations included Brisbane, Gold Coast, Mount Isa and Rockhampton.  Over many years the roles carried significant budgetary and staffing responsibilities, requiring skills in strategic planning, effective leadership of people, and operational management. 


    
   
        
            Official Awards:  2016 Department of Housing and Public Works Australia Day Medallion for coordination and front line management of Housing response to Cyclone Marcia.   
        
            Community Activity:  Involved in various sporting clubs with our children, soccer, swimming, football, Apex, Rotary. 
        
    

    Personal
     
            
               Birth Date: 
            
                17 November 1963 (Ayr, Queensland, Australia)
            
        
            
               Family: 
            
                Married (2 children)
            
        
            
               Education: 
            
                Senior Certificate

            
        
            
               Religion: 
            
                Roman Catholic
            
        



    
    


"
Mr Samuel (Sam) O'Connor,2704686237,"
    
        
    
        
            Electorate
            Bonney -  View Map (.pdf)
        
        
            Party
            Liberal National Party (LNP)
        
            Date of Election
            25 November 2017
        
            SpeechesInaugural |  All Speeches
        

        Websitehttp://www.samoconnormp.com.au 
    
    
    
    
        Contact details
    

        
        


Electorate Office Address102 Imperial ParadeLABRADOR QLD 4215

Phone: (07) 5657 7980Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: 
Member, Economics and Governance Committee: 15 Feb 2018
Shadow Assistant Minister to the Opposition Leader and Shadow Assistant Minister for Youth: 15 Dec 2017

		
        Career
    
	

        Bartender / courtesy bus driver at Labrador AFL Sports Club (2015-2017); Media Advisor to the Hon Stuart Robert MP, Federal Member for Fadden (2015-2017).

    
   
        
            Community Activity:  Vice-President of Labrador Community Garden; Vice-President of Paradise Point Meals on Wheels; Youth Director at Rotary Club of Runaway Bay; Patron of Labrador Hockey Club and Patron Musgrave Hill Bowls Club. 
        
    

    Personal
     
            
               Birth Date: 
            
                5 August 1991 (Ipswich, Queensland, Australia)
            
        
            
               Education: 
            
                Bachelor of Science, Biomedical Science BSc (UQ); Bachelor of Arts, Political Science BA (UQ).
            
        



    
    


"
Mr Timothy (Tim) Nicholls,407905322,"
    
        
    
        
            Electorate
            Clayfield -  View Map (.pdf)
        
        
            Party
            Liberal National Party (LNP)
        
            Date of Election
            9 September 2006Previous RepresentationClayfield - LIB (9 Sep 2006 - 8 Sep 2008)
        
            SpeechesInaugural |  All Speeches
        

        
    
    
    
    
        Contact details
    

        
        

Electorate Office Postal AddressPO Box 281CLAYFIELD QLD 4011

Electorate Office AddressShop 1, 729 Sandgate RoadCLAYFIELD QLD 4011

Phone: (07) 3638 9100Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: 
Deputy Chair, Ethics Committee: 15 Feb 2018
Chair, Parliamentary Crime and Corruption Committee: 15 Feb 2018

		
    
        Past:
Member, Parliamentary Crime and Corruption Committee: 18 Dec 2017 - 14 Feb 2018
Leader of the Opposition and Shadow Minister for Arts and Major Events: 10 May 2016 - 11 Dec 2017
Leader of the Opposition: 6 May 2016 - 10 May 2016
Shadow Minister for Infrastructure, Planning, Small Business, Employment and Trade: 20 Feb 2015 - 10 May 2016
Treasurer and Minister for Trade: 3 Apr 2012 - 2015
Treasurer; Minister for Finance, Natural Resources and The Arts; Minister for Government Services, Building Industry and Information and Communication Technology; Minister for Child Safety and Minister for Sport; Minister for Disability Services, Mental Health and Aboriginal and Torres Strait Islander Partnerships; and Minister for Community Services and Housing and Minister for Women: 26 Mar 2012 - 3 Apr 2012
Shadow Treasurer, Shadow Minister for Finance and Shadow Minister for Trade and Shadow Minister for Racing: 11 Apr 2011 - 26 Mar 2012
Deputy Leader of the Opposition: 23 Mar 2011 - 26 Mar 2012
Member, Committee of the Legislative Assembly: 23 Mar 2011 - 24 Mar 2012
Member, Finance and Administration Committee: 16 Jun 2011 - 4 Aug 2011
Deputy Chair, Integrity, Ethics and Parliamentary Privileges Committee: 9 Dec 2009 - 15 Jun 2011
Shadow Treasurer: 6 Apr 2009 - 12 Apr 2011
Shadow Minister for Employment and Economic Development: 6 Apr 2009 - 29 Nov 2010
Deputy Chair, Members' Ethics and Parliamentary Privileges Committee: 23 Apr 2009 - 9 Dec 2009
Shadow Treasurer and Shadow Minister for Future Growth: 12 Aug 2008 - 5 Apr 2009
Member, Legal, Constitutional and Administrative Review Committee: 11 Oct 2006 - 20 Mar 2009
Member, Estimates Committee F: 2008 - 2008
Shadow Minister for Transport, Traffic Management, Trade, Employment and Industrial Relations: 17 Sep 2007 - 12 Aug 2008
Deputy Leader, Parliamentary Liberal Party: 6 Dec 2007 - 27 Jul 2008
Member, Broadcast of Parliament Select Committee: 14 Feb 2008 - 30 May 2008
Member, Estimates Committee F: 2007 - 2007
Shadow Minister for Public Transport and Traffic Management: 16 Apr 2007 - 17 Sep 2007
Shadow Minister for Tourism, Fair Trading and Wine Industry Development: 21 Sep 2006 - 17 Sep 2007



    
		
        Career
    
	

        Prior to election – Articled Clerk at Stephens and Tozer Solicitors, Brisbane (1983 – 1986); Solicitor, Thompson, King and Partners Solicitors, Brisbane (1989 – 1991); Associate and then Senior Associate, Thompson, King, Connolly Solicitors, Brisbane (1991 – 1996); Senior Associate, Hunt and Hunt Lawyers (1996 – 1999); Councillor, Hamilton Ward, Brisbane City Council (2000 – 2006). 

    
   
        
            Community Activity:  Tim is a member of many local community organisations. In 2004, he was awarded a Paul Harris Fellowship by the Rotary Club of Hamilton. He is patron of the All Stars Baseball Club and the Eagle Junction Swimming Club.  
        
            Local Government Service:  Councillor, Hamilton Ward, Brisbane City Council (2000 – 2006). Member, BCC Finance Committee (2000 – 2004). Lord Mayor’s Spokesperson for Customer and Community Services and Brisbane Water (2004 – 2005); Member, BCC Customer and Community Services and Water Committee (2004 - 2005). Liberal Party Queensland Representative, Australian Young Political Leaders’ program to study the electoral process in the USA (2004). Board Member, Brisbane Water Enviro Alliance (BWEA) (2004 – 2005). Member, BCC Expenditure Review Committee (2004 – 2006). Lord Mayor’s Finance Spokesperson (2005 – 2006); Member, BCC Finance Committee (August 2005 – August 2006).  
        
    

    Personal
     
            
               Birth Date: 
            
                6 April 1965 (Melbourne, Victoria)
            
        
            
               Family: 
            
                Married (3 children)
            
        
            
               Education: 
            
                 Trinity Grammar School, Kew, Victoria (1974 – 1977); Church of England Grammar School, Brisbane (1978 – 1982); Bachelor of Laws (QUT).
            
        



    
    


"
Mrs Charis Mullen,2781841870,"
    
        
    
        
            Electorate
            Jordan -  View Map (.pdf)
        
        
            Party
            Australian Labor Party (ALP)
        
            Date of Election
            25 November 2017
        
            SpeechesInaugural |  All Speeches
        

        
    
    
    
    
        Contact details
    

        
        

Electorate Office Postal AddressPO Box 4178SPRINGFIELD QLD 4300

Electorate Office AddressShop R5, GE Headquarters6 Yoga WaySPRINGFIELD CENTRAL QLD 4300

Phone: (07) 3447 9300Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: 
Member, State Development, Tourism, Innovation and Manufacturing Committee: 21 May 2020
Deputy Chair, Parliamentary Crime and Corruption Committee: 26 Mar 2019

		
    
        Past:
Member, Innovation, Tourism Development and Environment Committee: 15 Feb 2018 - 20 May 2020
Member, Parliamentary Crime and Corruption Committee: 15 Feb 2018 - 25 Mar 2019



    
		
        Career
    
	

        Prior to entering Parliament, Ms Mullen spent 20 years in the public and private sector providing strategic advice and support in government affairs, public policy and advocacy, stakeholder engagement and communication strategy. She has worked across a number of industries including planning & development, transport, infrastructure, mining, tourism and telecommunications. Ms Mullen has previously held positions on a number of Boards including government and superannuation.

    
   
        
            Community Activity:  Gailes Community House (Member), Springfield Lakes Nature Care Inc. (Member), Greater Springfield Chamber of Commerce (Member), Flagstone Community Association (Member),  Logan Country Chamber of Commerce (Member), Harrison’s Little Wings (Patron), Zonta E-Club (Member) 
        
    

    Personal
     
            
               Birth Date: 
            
                20 February 1974 (Sydney, New South Wales, Australia)
            
        
            
               Education: 
            
                Bachelor of Arts (University of Queensland), Diploma of Superannuation, Certificate IV in Frontline Management
            
        



    
    


"
Mr Robert (Rob) Molhoek,3291126039,"
    
        
    
        
            Electorate
            Southport -  View Map (.pdf)
        
        
            Party
            Liberal National Party (LNP)
        
            Date of Election
            24 March 2012
        
            SpeechesInaugural |  All Speeches
        

        Websitehttp://www.robmolhoek.com.au/ 
    
    
    
    
        Contact details
    

        
        

Electorate Office Postal AddressPO Box 903SOUTHPORT QLD 4215

Electorate Office AddressShop 12, 175 Ferry RoadSOUTHPORT QLD 4215

Phone: (07) 5600 1100Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: 
Opposition Whip: 15 Dec 2017
		
    
        Past:
Member, Public Works and Utilities Committee: 14 Feb 2017 - 24 Nov 2017
Member, Transportation and Utilities Committee: 18 Feb 2016 - 14 Feb 2017
Shadow Minister for Housing and Public Works: 20 Feb 2015 - 10 May 2016
Member, Utilities, Science and Innovation Committee: 27 Mar 2015 - 18 Feb 2016
Assistant Minister for Planning Reform: 20 Feb 2013 - 2015
Assistant Minister for Child Safety: 18 May 2012 - 20 Feb 2013
Parliamentary Secretary for Child Safety: 12 Apr 2012 - 18 May 2012



    
		
        Career
    
	

        Prior to election - Management Career Woolworths & Big W, 27 stores Australia wide, Small Business Owner/Operator, Far West Investments; Broadcast Media Executive Management, General Manager and Director Coinwatch International, Media Consultancy Community Radio and Television.

    
   
        
            Community Activity:  Rob believes putting back is important. Past Director and National President, Bravehearts the body committed to fighting child sexual assault and abuse in Australia. Founding Chairman of the Gold Coast Community Fund. Past Director and Chairman of the Gold Coast Titans Community Foundation. Foundation Director of the Gold Coast NRL Bid Team (now Gold Coast NRL Titans). Former Director, Runaway Bay Junior Leagues Club. Former Directory and Deputy Chairman Gold Coast Tropicarnival and Gold Coast Eisteddfod. Former Director and Chairman Community Radio Station Juice 107.3. Former Committee Member, Labrador Senior Citizens Management. Member Executive Olympic 2000 Team Fund, Gold Coast. Member Executive Olympic 2000 Team Fund, Gold Coast. Committee Member, Gold Coast Show Society. Former Director and Chairman, Broken Hill YMCA Incorporated. Former Director, Cornerstone Enterprises Pty Ltd (Far West NSW). Committee Member, John Bell's (ESPRIT) ECY (Employment in the Community for Young, People). Director/Member, Victorian State Government NE Flood Disaster Recovery Trust: Convenor of Elders, Southport Church of Christ. Chairman, Victorian Federation of Radio Broadcasters. Former Patron, Labrador Tigers Australian Rules Football Club. Former Patron, Labrador Tigers Cricket Club. Former Patron, Gold Coast Model Railway Workshop. Former Patron, Gold Coast City Wind Orchestra. Former Patron, Gold Coast Hockey Association. Member, Metro Church Southport. He has also served on the boards of chambers of commerce, media companies, local festivals and many youth organisations.  
        
            Local Government Service:  Councillor (2004-2008), Gold Coast City Council - Division 4: Parkwood, Arundel, Labrador, Biggera Waters. Chairman, Finance & Internal Services Committee. Member Standing Committee for Water Sustainability (Gold Coast Water). Member, Standing Committee for Health & Community Services. Member, Standing Committee for Strategic Growth Management (Sustainability, Planning & Environment). Chairman, Disaster Relief Management Committee.  
        
    

    Personal
     
            
               Birth Date: 
            
                6 October 1959 (Southport, Queensland )
            
        
            
               Education: 
            
                Keebra Park State High School, Bond University Executive Development Program. 
            
        



    
    


"
Mr Steven (Steve) Minnikin,3592056585,"
    
        
    
        
            Electorate
            Chatsworth -  View Map (.pdf)
        
        
            Party
            Liberal National Party (LNP)
        
            Date of Election
            24 March 2012
        
            SpeechesInaugural |  All Speeches
        

        Websitehttp://www.steveminnikin.com.au/ 
    
    
    
    
        Contact details
    

        
        

Electorate Office Postal AddressPO Box 1565CARINDALE QLD 4152

Electorate Office AddressUnit 1, Millennium Business CentreMillennium BvdCARINDALE QLD 4152

Phone: (07) 3914 9100Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: 
Shadow Minister for Transport and Main Roads: 15 Dec 2017
		
    
        Past:
Shadow Minister for Aboriginal and Torres Strait Islander Partnerships and Multicultural Affairs: 14 Feb 2017 - 14 Dec 2017
Member, Finance and Administration Committee: 14 Feb 2017 - 14 Dec 2017
Deputy Opposition Whip: 9 May 2016 - 14 Feb 2017
Member, Parliamentary Crime and Corruption Committee: 18 Feb 2016 - 14 Feb 2017
Deputy Opposition Whip: 31 Jan 2015 - 22 Feb 2016
Assistant Minister for Public Transport: 18 May 2012 - 2015
Parliamentary Secretary for Public Transport: 12 Apr 2012 - 18 May 2012



    
		
        Career
    
	

        Prior to election - shopping centre developer and manager, State Development Manager (Australand), National Development Manager (Peninsula Development Group). 

    
   
        
            Official Awards:  Lions International Melvin Jones Fellow; Winner of National Customer Service Award 1998 (ACSA).  
        
            Community Activity:  Mt Petrie Bowmen Archery Club (Patron). Associate of the Australian Property Institute; Member of the Australian Institute of Management.  
        
            Local Government Service:  Executive Officer Redland Shire Council 1995; Customer Service Manager 1999.  
        
    

    Personal
     
            
               Birth Date: 
            
                9 July 1965 (Brisbane )
            
        
            
               Family: 
            
                Married (2 children)
            
        
            
               Education: 
            
                Bachelor of Business (UQ), Graduate Cert Property Economics (QUT), Graduate Diploma Property Economics (QUT), Master of Property Economics (QUT), Commissioner for Declarations.
            
        



    
    


"
Mr Lachlan Millar,3942844115,"
    
        
    
        
            Electorate
            Gregory -  View Map (.pdf)
        
        
            Party
            Liberal National Party (LNP)
        
            Date of Election
            31 January 2015
        
            SpeechesInaugural |  All Speeches
        

        
    
    
    
    
        Contact details
    

        
        


Electorate Office AddressShop 1 93 Clermont StreetEMERALD QLD 4720

Phone:  (07) 4913 1000Fax: n/aEmail: [email protected]

Electorate Office Postal AddressPO Box 42LONGREACH QLD 4730

Electorate Office AddressShop 2 Studio Exclusive Arcade, 120A Eagle StreetLONGREACH QLD 4730

Phone: (07) 4521 5700Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: 
Shadow Minister for Fire, Emergency Services and Volunteers: 15 Dec 2017
		
    
        Past:
Member, Agriculture and Environment Committee: 14 Feb 2017 - 24 Nov 2017
Member, Finance and Administration Committee: 10 May 2016 - 14 Feb 2017
Member, Infrastructure, Planning and Natural Resources Committee: 27 Mar 2015 - 10 May 2016



    
		
        Career
    
	

        

    
   
        
            Community Activity:  Chamber of Commerce, Rugby Coach, Netball Coach, P&F Committee. 
        
    

    Personal
     
            
               Birth Date: 
            
                17 December 1970 (Goondiwindi, Queensland, Australia)
            
        
            
               Education: 
            
                Prior to election - Farmer, Harvesting Contractor, Rural Reporter for the ABC, Small Business Operator.
            
        



    
    


"
Hon Dr Steven Miles,9522482,"
    
        
    
        
            Electorate
            Murrumba -  View Map (.pdf)
        
        
            Party
            Australian Labor Party (ALP)
        
            Date of Election
            31 January 2015Previous RepresentationMount Coot-tha - ALP (31 Jan 2015 - 24 Nov 2017)
        
            SpeechesInaugural |  All Speeches
        

        Websitehttp://www.stevenmiles.com/ 
    
    
    
    
        Contact details
    

        

Ministerial Office Postal AddressPO Box 48BRISBANE  QLD  4001

Ministerial Office1 William StreetBRISBANE  QLD  4000

Phone: (07) 3035 6100Fax: n/aEmail: [email protected]
        
Electorate Office Postal AddressPO Box 538KALLANGUR QLD 4503

Electorate Office Address1/15 Goodfellows RoadKALLANGUR QLD 4503

Phone: (07) 3448 9300Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: 
Deputy Premier and Minister for Health and Minister for Ambulance Services: 11 May 2020
		
    
        Past:
Deputy Chair [Premier’s alternate], Business Committee: 3 Sep 2018 - 17 May 2020
Minister for Health and Minister for Ambulance Services: 12 Dec 2017 - 10 May 2020
Minister for Environment and Heritage Protection and Minister for National Parks and the Great Barrier Reef: 16 Feb 2015 - 11 Dec 2017



    
		
        Career
    
	

        Managing Director Reveille Strategy, Communications Director United Voice, Senior Policy Adviser Queensland Government, Director QPSU

    
   
        
            Community Activity:  Australian Conservation Foundation; Save Our Waterways Now; United Voice; Together. 
        
    

    Personal
     
            
               Birth Date: 
            
                15 November 1977 (Brisbane)
            
        
            
               Family: 
            
                Married (3 children)
            
        
            
               Education: 
            
                Petrie State School, St Pauls (Bald Hills), University of Queensland.
            
        



    Additional Information
Academic qualifications: Bachelor of Arts (BA); Doctor of Philosophy (PhD).
    


"
Mr Brent Mickelberg,3779160121,"
    
        
    
        
            Electorate
            Buderim -  View Map (.pdf)
        
        
            Party
            Liberal National Party (LNP)
        
            Date of Election
            25 November 2017
        
            SpeechesInaugural |  All Speeches
        

        
    
    
    
    
        Contact details
    

        
        

Electorate Office Postal AddressPO Box 476BUDERIM QLD 4556

Electorate Office AddressUnit 4, 102 Burnett StreetBUDERIM QLD 4556

Phone: (07) 5406 2100Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: 
Member, Natural Resources, Agricultural Industry Development and Environment Committee: 21 May 2020
Shadow Assistant Minister for Tourism Industry Development: 15 Dec 2017

		
    
        Past:
Member, State Development, Natural Resources and Agricultural Industry Development Committee: 15 Feb 2018 - 20 May 2020


    
		
        Career
    
	

        2013-2017 Bank Manager; 2007-2013 Australian Regular Army; 2004-2006 Bank Analyst; 2001-2003 Stockman.

    
   
        
            Official Awards:  Military Awards: Australian Active Service Medal; Operational Service Medal; Australian Service Medal; Afghanistan Medal; Australian Defence Medal; Timor Leste Solidarity Medal; Returned from Active Service Badge; Operational Service Badge. 
        
            Military Service:  Units 51 FNQR; 8/9 RAR; 2 RAR; School of Infantry, Royal Military College - Duntroon; 42 RQR; 25/49 RQR, Rank: Capt 
        
    

    Personal
     
            
               Birth Date: 
            
                3 October 1981 (Brisbane, Queensland)
            
        
            
               Education: 
            
                Master Applied Finance (M.App Fin); Bachelor Applied Science - Animal Studies (B.App.Sci.)
            
        



    Additional Information
    
            Notes:  Personal interests: Beef cattle breeding; rugby; rugby league; scuba diving. 
        


"
Mr Bart Mellish,895860336,"
    
        
    
        
            Electorate
            Aspley -  View Map (.pdf)
        
        
            Party
            Australian Labor Party (ALP)
        
            Date of Election
            25 November 2017
        
            SpeechesInaugural |  All Speeches
        

        Websitehttps://www.facebook.com/Mellish4Aspley/ 
    
    
    
    
        Contact details
    

        
        

Electorate Office Postal AddressPO Box 1261ASPLEY QLD 4034

Electorate Office AddressShop 8A, 46 Gayford StreetASPLEY QLD 4034

Phone: (07) 3554 7100Fax: n/aEmail: [email protected]
    
    
        Parliamentary Service
    
        Current: 
Member, Transport and Public Works Committee: 15 Feb 2018
		
        Career
    
	

        Environmental Scientist, Environmental Consultant, Policy Manager, Chief of Staff to Federal Senator.

    
   
        
    

    Personal
     
            
               Birth Date: 
            
                25 April 1983 (Toowoomba, Queensland)
            
        
            
               Education: 
            
                Bachelor of Science - University of Southern Queensland (B.Sci)(USQ); Post Graduate Certificate in Environmental Management (P.Grad.Cert)(USQ); Masters of Business Administration - University of Southern Queensland, Majoring in Environmental Management (MBA)(USQ)
            
        



    
    


"
