name,number,personal,everything
"Aplin,  William  ",/2164289564,"
    
            Birth Date: 27 April 1840 (Combe St Nicholas, Somerset, England)
            
Death Date: 18 February 1901 (Warwick, Queensland, Australia)  
            
Parents: William Aplin and Ann (nee Tuck) 
            Family: Isabella Annie Campbell on 3 November 1897 at Brisbane, Mary Jane Bristol on 27 October 1865 at Bowen, 5 sons, 4 daughters 
             
            
Education: Bourton Academy, Dorset 
            Religion: Church of England 
            
     ","
     Personal
    
        
    
    
            Birth Date: 27 April 1840 (Combe St Nicholas, Somerset, England)
            
Death Date: 18 February 1901 (Warwick, Queensland, Australia)  
            
Parents: William Aplin and Ann (nee Tuck) 
            Family: Isabella Annie Campbell on 3 November 1897 at Brisbane, Mary Jane Bristol on 27 October 1865 at Bowen, 5 sons, 4 daughters 
             
            
Education: Bourton Academy, Dorset 
            Religion: Church of England 
            
     
    
    
    Career
        Director, Bank of North Queensland; Member, Townsville Chamber of Commerce
        
        
        
        
        Local Government Service: Alderman, Townsville Municipal Council; Mayor of Townsville, 1869; Mayor, Thuringowa City Council, 1880-1881
        
    Parliamentary Representation:
            House
                      Party
                      Electorate
                      From
                    To
                    Elected/Departure Reason                      
                Council 
                NONE
                Legislative Council
                19 Oct 1880
                18 Feb 1901
                Died in Office
            

    

      Additional Information
    Notes: Member, Thuringowa Divisional Board and Dalrymple Divisional Board; President, North Queensland Pastoralists' Association; Trustee, Hospital Committee and Cemetery; Member, Board of Trustees of Townsville Grammar School, 1888
    
    Sources: Image courtesy of John Oxley Library, State Library of Queensland; Waterson, DB, A Biographical Register of the Queensland Parliament: 1860-1929, 2nd revised edition (Sydney: Casket Publications, 2001); Allingham, EM, Aplin, William (1840-1901), Australian Dictionary of Biography, V.3, Melbourne University Press, 1969, pp 39-40

    [Last Modified: Wednesday, 2 December 2015]


"
"Foxton,  Justin Fox Greenlaw CMG ",/216467508,"
    
            Birth Date: 24 September 1849 (Merri Creek, Victoria, Australia)
            
Death Date: 23 June 1916 (Brisbane, Queensland, Australia)  
            
Parents: John Greenlaw Foxton and Isabel Elizabeth (nee Potts) 
            Family: Emily Mary Panton in Ipswich on 19 November 1874, 2 sons, 2 daughters 
             
            
Education: Melbourne Church of England Grammar School 
            Religion: Church of England 
            
     ","
     Personal
    
        
    
    
            Birth Date: 24 September 1849 (Merri Creek, Victoria, Australia)
            
Death Date: 23 June 1916 (Brisbane, Queensland, Australia)  
            
Parents: John Greenlaw Foxton and Isabel Elizabeth (nee Potts) 
            Family: Emily Mary Panton in Ipswich on 19 November 1874, 2 sons, 2 daughters 
             
            
Education: Melbourne Church of England Grammar School 
            Religion: Church of England 
            
     
    
    
    Career
        Jackaroo, Queensland; Articled clerk to J.M. Thompson; Solicitor, 1871; Legal practice in Stanthorpe, 1872-1878; Partner, Thompson law firm; Director, Metropolitan Federal Land and Building Company, 1886-1890; Aide-de-camp, Governor-General, 1909
        
        
        Official Awards: Awarded Companion of the Order of St Michael and St George, 1903
        
        
        Military Service: Colonel in Queensland Defence Forces, commander of Qld Field Force
    Parliamentary Representation:
            House
                      Party
                      Electorate
                      From
                    To
                    Elected/Departure Reason                      
                Assembly 
                MIN
                Carnarvon
                1 Oct 1883
                27 Aug 1904
                
            
Other Seats:  Member of the House of Representatives (Federal), BRISBANE, Qld, 12 Dec 1906 to 13 Apr 1910; Federal Minister without Office, 1909-1910

    
            Parliamentary Service
            Description
                      From
                      To                
                Secretary for Public Lands 
                
8 Apr 1903
                
17 Sep 1903
            Home Secretary 
                
12 Oct 1898
                
8 Apr 1903
            Secretary for Public Lands 
                
6 May 1896
                
12 Oct 1898
            Additional Information
    Notes: Awarded Royal Humane Society's certificate of merit for saving a woman from drowning in Melbourne in 1884 and a Bronze Medal for the attempted rescue of two women in a flooded Brisbane River in 1891; Representative, Federal Council of Australia, 1898; Represented Australia at the Imperial Defence Conference in London, 1909; Chairman, Stanthorpe Hospital Committee; President, Queensland Cricket Association;  Foxton helped found the Historical Society of Queensland; Grand registrar of United Grand Lodge of Queensland
    
    Sources: Image courtesy of John Oxley Library, State Library of Queensland, Neg: 150292; Australian Dictionary of Biography, V.8: 1891-1939, Melbourne University Press; Waterson, DB, A Biographical Register of the Queensland Parliament: 1860-1929, 2nd revised edition (Sydney: Casket Publications, 2001)

    [Last Modified: Wednesday, 12 July 2017]


"
"Jones,  John  ",/2164998653,"
    
            Birth Date: 1872 (South Australia, Australia)
            
Death Date: February 1950   
            
Parents: John Jones and Mary 
             
             
            Education: Educated in state schools 
             
            
     ","
     Personal
    
        
    
    
            Birth Date: 1872 (South Australia, Australia)
            
Death Date: February 1950   
            
Parents: John Jones and Mary 
             
             
            Education: Educated in state schools 
             
            
     
    
    
    Career
        Assisted father on Britannia grazing farm, Charters Towers, 1884
        
        
        
        
        Local Government Service: Member Dalrymple Shire Council, 1905-1925, Chairman 1919-1920
        
    Parliamentary Representation:
            House
                      Party
                      Electorate
                      From
                    To
                    Elected/Departure Reason                      
                Assembly 
                NCP
                Kennedy
                9 Oct 1920
                12 May 1923
                
            

    

      Additional Information
    
    
    Sources: Waterson, DB, A Biographical Register of the Queensland Parliament: 1860-1929, 2nd revised edition (Sydney: Casket Publications, 2001)

    [Last Modified: Tuesday, 1 August 2017]


"
"Kempton,  David  ",/2170456654,"
    
            Birth Date: 1956 
               
             
             
             
             
             
            
     
","
     Personal
    
        
    
    
            Birth Date: 1956 
               
             
             
             
             
             
            
     

    
    
    Career
        Law practice, Cooktown 
        
        
        
        
        
        
    Parliamentary Representation:
            House
                      Party
                      Electorate
                      From
                    To
                    Elected/Departure Reason                      
                Assembly 
                LNP
                Cook
                24 Mar 2012
                30 Jan 2015
                
            
		
       Speeches: Inaugural |  All Speeches 
    
	
     

    
            Parliamentary Service
            Description
                      From
                      To                
                Assistant Minister for Aboriginal and Torres Strait Islander Affairs  
                
18 May 2012
                
30 Jan 2015
            Parliamentary Secretary for Aboriginal and Torres Strait Islander Affairs  
                
12 Apr 2012
                
18 May 2012
            Additional Information
    Notes: Interests include bringing infrastructure, business and services to the Cook electorate and providing economic opportunity in Indigenous communities through land leases and youth training
    
    Sources: Image sourced from the collection of Queensland Parliamentary Library and Research Service

    [Last Modified: Friday, 28 July 2017]


"
"Barlow,  Andrew Henry ",/217519038,"
    
            Birth Date: 8 September 1837 (Wanstead, Essex, England)
            
Death Date: 29 March 1915 (Brisbane, Queensland, Australia)  
            
Parents: John Henry Barlow and Eliza Ann (nee Burnstead) 
            Family: Eleanor Marion Outridge in 1873, 1 son 
             
             
            
Religion: Church of England 
            
     ","
     Personal
    
        
    
    
            Birth Date: 8 September 1837 (Wanstead, Essex, England)
            
Death Date: 29 March 1915 (Brisbane, Queensland, Australia)  
            
Parents: John Henry Barlow and Eliza Ann (nee Burnstead) 
            Family: Eleanor Marion Outridge in 1873, 1 son 
             
             
            
Religion: Church of England 
            
     
    
    
    Career
        Officer, Bank of Australasia, 1851-1885; Senate, University of Queensland, 1910
        
        
        
        
        
        
    Parliamentary Representation:
            House
                      Party
                      Electorate
                      From
                    To
                    Elected/Departure Reason                      
                Assembly 
                MIN
                Ipswich
                5 May 1888
                21 Mar 1896
                
            Council 
                NONE
                Legislative Council
                10 Jun 1896
                29 Mar 1915
                Died in Office
            

    
            Parliamentary Service
            Description
                      From
                      To                
                Minister without Portfolio 
                
29 Jun 1909
                
29 Mar 1915
            Secretary for Public Instruction 
                
18 Feb 1908
                
29 Jun 1909
            Government Representative in Legislative Council 
                
18 Feb 1908
                
29 Jun 1909
            Secretary for Public Instruction 
                
17 Sep 1903
                
19 Nov 1907
            Government Representative in Legislative Council 
                
17 Sep 1903
                
19 Nov 1907
            Government Representative in Legislative Council 
                
10 Jun 1896
                
1 Dec 1899
            Secretary for Public Lands and Agriculture 
                
27 Mar 1893
                
6 May 1896
            Additional Information
    
    
    Sources: Image courtesy of John Oxley Library, State Library of Queensland, Neg:68251; Waterson, DB, A Biographical Register of the Queensland Parliament: 1860-1929, 2nd revised edition (Sydney: Casket Publications, 2001)

    


"
"Perel,  Irvine (Isidore)  ",/2176389580,"
    
            Birth Date: 1872 (Ararat, Victoria, Australia)
            
Death Date: 23 October 1928 (Albion, Queensland, Australia)  
            
Parents: Louis Perel and Elizabeth (nee Brand) 
            Family: (2) Martha Hurford on 26 February 1901, 4 sons, 3 daughters, (1) Amy Anna Brooks on 19 December 1892 
             
            
Education: Ararat State School 
            Religion: Church of England 
            
     ","
     Personal
    
        
    
    
            Birth Date: 1872 (Ararat, Victoria, Australia)
            
Death Date: 23 October 1928 (Albion, Queensland, Australia)  
            
Parents: Louis Perel and Elizabeth (nee Brand) 
            Family: (2) Martha Hurford on 26 February 1901, 4 sons, 3 daughters, (1) Amy Anna Brooks on 19 December 1892 
             
            
Education: Ararat State School 
            Religion: Church of England 
            
     
    
    
    Career
        Electrician, PMG telephone installation, Bundaberg and Townsville; Editor, Maryborough then Bundaberg 'Patriot', 1893
        
        
        
        
        
        
    Parliamentary Representation:
            House
                      Party
                      Electorate
                      From
                    To
                    Elected/Departure Reason                      
                Council 
                ALP
                Legislative Council
                10 Oct 1917
                23 Mar 1922
                Council Abolished
            

    

      Additional Information
    
    
    Sources: Waterson, DB, A Biographical Register of the Queensland Parliament: 1860-1929, 2nd revised edition (Sydney: Casket Publications, 2001)

    


"
"Harvey,  William Charles Roy, AM (Roy)",/217808789,"
    
            Birth Date: 6 January 1921 (Brisbane, Queensland, Australia)
            
Death Date: 23 April 2006 (Caloundra, Queensland, Australia)  
            
Parents: Charles Roy Harvey and Mary (nee Macmillan) 
            Family: Pearl Ruby Jess on 17 January 1949, 1 son, 2 daughters 
             
            
Education: Kedron State School 
            Religion: Lutheran 
            
     ","
     Personal
    
        
    
    
            Birth Date: 6 January 1921 (Brisbane, Queensland, Australia)
            
Death Date: 23 April 2006 (Caloundra, Queensland, Australia)  
            
Parents: Charles Roy Harvey and Mary (nee Macmillan) 
            Family: Pearl Ruby Jess on 17 January 1949, 1 son, 2 daughters 
             
            
Education: Kedron State School 
            Religion: Lutheran 
            
     
    
    
    Career
        Industrial leather chemist; Local government investigations officer
        
        
        Official Awards: Mr Harvey was awarded the Order of Australia medal on 26 Jan 1994 for service to local government and to the community
        
        Local Government Service:  Lord Mayor, City of Brisbane, 1982 to 1985; Vice-Mayor, City of Brisbane, 1979 to 1982; Alderman, Mitchelton Ward, Brisbane City Council, 1979 to 1982; Alderman, Kedron Ward, Brisbane City Council, 1952 to 1973; Chairman, Transport and Electricity Committee, Brisbane City Council 
        Military Service: Sergeant, Northern Command Division, Signals during WWII
    Parliamentary Representation:
            House
                      Party
                      Electorate
                      From
                    To
                    Elected/Departure Reason                      
                Assembly 
                ALP
                Stafford
                27 May 1972
                7 Dec 1974
                
            

    

      Additional Information
    Notes: Interests include fishing and bowls. Member: Royal Chemical Institute of Australia, South East Queensland Electricity Board, Stafford Bowls Club, Local Government Association, Metropolitan Fire Brigade Board, Council of Capital City Lord Mayors, Australian Council of Local Government Associations, Metropolitan Rugby League Club, Grange-Thistle Soccer Football and Youth Club and West Mitchelton Rugby League Club; Delegate, Trades and Labor Council; President, Leather Trades Union;  He was a Freemason and a Rotarian; Chairman, Lord Mayors and Town Clerks Conference, 1982
    
    Sources: Image courtesy of Brisbane City Council, Identifier BCC-B120-33104; Waterson, DB and John Arnold, A Biographical Register of the Queensland Parliament: 1930-1980, (Canberra: ANU Press, 1982); Williams, Brian, Obituaries, The Courier-Mail, 'From tannery to city's top dog', 25 Apr 2006; Draper, WJ, Whos' Who in Australia, 1985, XXVth Edition, 1985, (Melbourne, Vic: The Herald and Weekly Times Ltd), p. 393

    [Last Modified: Tuesday, 25 July 2017]


"
"Llewelyn,  Henry  ",/2185792234,"
    
            Birth Date: 12 September 1855 (Merthyr Tydfil, Wales)
            
Death Date: 6 August 1933 (Brisbane, Queensland, Australia)  
            
Parents: Henry Llewelyn and Elizabeth 
            Family: (2) Mary Ann McNamee at Gympie, 3 sons, 4 daughters, (1) Eleanor Davies in 1874 at Merthyr Tydfil, 2 sons, 3 daughters 
             
            
Education: Merthyr Tydfil 
            Religion: Baptist/Methodist 
            
     ","
     Personal
    
        
    
    
            Birth Date: 12 September 1855 (Merthyr Tydfil, Wales)
            
Death Date: 6 August 1933 (Brisbane, Queensland, Australia)  
            
Parents: Henry Llewelyn and Elizabeth 
            Family: (2) Mary Ann McNamee at Gympie, 3 sons, 4 daughters, (1) Eleanor Davies in 1874 at Merthyr Tydfil, 2 sons, 3 daughters 
             
            
Education: Merthyr Tydfil 
            Religion: Baptist/Methodist 
            
     
    
    
    Career
        Miner, Wales and Lancashire; Miner, Gympie; Bookseller and stationer, Gympie, 1899
        
        
        
        
        
        
    Parliamentary Representation:
            House
                      Party
                      Electorate
                      From
                    To
                    Elected/Departure Reason                      
                Council 
                ALP
                Legislative Council
                10 Oct 1917
                23 Mar 1922
                Council Abolished
            

    

      Additional Information
    Notes: Official, Amalgamated Miners' Association
    
    Sources: Waterson, DB, A Biographical Register of the Queensland Parliament: 1860-1929, 2nd revised edition (Sydney: Casket Publications, 2001)

    [Last Modified: Tuesday, 22 August 2017]


"
"Fihelly, Hon John Arthur ",/2186961562,"
    
            Birth Date: 7 November 1882 (Timoleague, County Cork, Ireland)
            
Death Date: 2 March 1945 (Brisbane, Queensland, Australia)  
            
Parents: Cornelius Fihelly and Annie (nee McCarthy) 
            Family: Marguerite Agnes Murphy on 8 May 1912, in Brisbane 2 sons, 1 daughter 
             
            
Education: Petrie Terrace State School; St. Joseph's College 
            Religion: Roman Catholic 
            Relationship to Politician: His father-in-law, Peter Murphy was a member of the Legislative Council
     ","
     Personal
    
        
    
    
            Birth Date: 7 November 1882 (Timoleague, County Cork, Ireland)
            
Death Date: 2 March 1945 (Brisbane, Queensland, Australia)  
            
Parents: Cornelius Fihelly and Annie (nee McCarthy) 
            Family: Marguerite Agnes Murphy on 8 May 1912, in Brisbane 2 sons, 1 daughter 
             
            
Education: Petrie Terrace State School; St. Joseph's College 
            Religion: Roman Catholic 
            Relationship to Politician: His father-in-law, Peter Murphy was a member of the Legislative Council
     
    
    
    Career
        Clerk, Postal, Customs and Excise Departments; Freelance journalist; Agent General for Queensland, 1922 to 1923
        
        
        
        
        Local Government Service: Alderman, Brisbane City Council, 1925-1930
        
    Parliamentary Representation:
            House
                      Party
                      Electorate
                      From
                    To
                    Elected/Departure Reason                      
                Assembly 
                ALP
                Paddington
                27 Apr 1912
                8 Feb 1922
                Retired
            

    
            Parliamentary Service
            Description
                      From
                      To                
                Secretary for Public Works 
                
7 Apr 1920
                
8 Feb 1922
            Attorney-General 
                
7 Apr 1920
                
12 Nov 1920
            Treasurer 
                
9 Mar 1920
                
8 Feb 1922
            Minister for Justice 
                
22 Oct 1919
                
7 Apr 1920
            Secretary for Railways 
                
30 Apr 1918
                
7 Apr 1920
            Minister without Office 
                
10 Jul 1915
                
30 Apr 1918
            Additional Information
    Notes:  
    
    Sources: Image courtesy of John Oxley Library, State Library of Queensland, Neg:68200; Waterson, DB, A Biographical Register of the Queensland Parliament: 1860-1929, 2nd revised edition (Sydney: Casket Publications, 2001); Hughes, Colin A and BD Graham, Voting for the Queensland Legislative Assembly 1890-1964, (Canberra: ANU, Department of Political Science, 1974)

    [Last Modified: Friday, 4 August 2017]


"
"Grimes,  George  ",/2188389531,"
    
            Birth Date: 17 December 1835 (Ashby-de-la-Zouch, Leicestershire, England)
            
Death Date: 28 January 1910 (Fairfield, Queensland, Australia)  
            
Parents: William Grimes and Mary (nee Douglas) 
            Family: Mary Rogers on 16 June 1863, 3 daughters 
             
             
            
Religion: Baptist 
            Relationship to Politician: His brother, Samuel represented the seat of Oxley from 3 December 1878 to 18 June 1902
     ","
     Personal
    
        
    
    
            Birth Date: 17 December 1835 (Ashby-de-la-Zouch, Leicestershire, England)
            
Death Date: 28 January 1910 (Fairfield, Queensland, Australia)  
            
Parents: William Grimes and Mary (nee Douglas) 
            Family: Mary Rogers on 16 June 1863, 3 daughters 
             
             
            
Religion: Baptist 
            Relationship to Politician: His brother, Samuel represented the seat of Oxley from 3 December 1878 to 18 June 1902
     
    
    
    Career
        Farmed at Kurilpa, 1857; arrowroot and sugar farmer, Coongoon, Fairfield,1863; purchased property at Hope Island, 1885
        
        
        
        
        Local Government Service:  Member, Stephens Shire Council
        
    Parliamentary Representation:
            House
                      Party
                      Electorate
                      From
                    To
                    Elected/Departure Reason                      
                Assembly 
                NONE
                Bulimba
                18 Nov 1876
                29 Nov 1878
                
            

    

      Additional Information
    Notes: Member, East Moreton Farmers' Association; President, Baptist Association of Queensland; member, Queensland Committee, Melbourne Exhibition, 1888
    
    Sources: Image courtesy of John Oxley Library, State Library of Queensland, Neg: 9420; Waterson, DB, A Biographical Register of the Queensland Parliament: 1860-1929, 2nd revised edition (Sydney: Casket Publications, 2001)

    


"
"Tozer,  Vivian Hoyles ",/2190139359,"
    
            Birth Date: 27 May 1870 (Gympie, Queensland, Australia)
            
Death Date: 5 September 1954 (Gympie, Queensland, Australia)  
            
Parents: Sir Horace Tozer and Mary Hoyles (nee Wilson) 
            Family: Mary Anne Farrelly on  12 June 1907, 1 son 
             
            
Education: R.B. Sheridan's School and A.J. Boyd's Private School, Milton; Brisbane and Ipswich Grammar Schools 
            Religion: Church of England 
            Relationship to Politician: Vivian Tozer's father, Sir Horace Tozer represented the seat of Wide Bay, 1871-1871; 1888-1898
     ","
     Personal
    
        
    
    
            Birth Date: 27 May 1870 (Gympie, Queensland, Australia)
            
Death Date: 5 September 1954 (Gympie, Queensland, Australia)  
            
Parents: Sir Horace Tozer and Mary Hoyles (nee Wilson) 
            Family: Mary Anne Farrelly on  12 June 1907, 1 son 
             
            
Education: R.B. Sheridan's School and A.J. Boyd's Private School, Milton; Brisbane and Ipswich Grammar Schools 
            Religion: Church of England 
            Relationship to Politician: Vivian Tozer's father, Sir Horace Tozer represented the seat of Wide Bay, 1871-1871; 1888-1898
     
    
    
    Career
        Articled Clerk to Anthony Conwell and Sir Horace Tozer, 1898; Trustee and President, Gympie Show Society; Trustee and President, Gympie Turf Club; Trustee and President, Gympie Agriculture, Mining and Pastoral Society; Director, Gympie Mining Co.
        
        
        
        
        
        Military Service: Captain, Wide Bay Mounted Infantry regiment, 1889; Served at Longreach Shearer's Strike, 1891; Officer in Queensland Contingent of Queen Victoria's Jubilee, London, 1897; Commanding Officer, Moreton Mounted Infantry Regiment
    Parliamentary Representation:
            House
                      Party
                      Electorate
                      From
                    To
                    Elected/Departure Reason                      
                Assembly 
                CPNP
                Gympie
                11 May 1929
                11 May 1935
                
            

    

      Additional Information
    Notes: Led Gympie mining revival, 1900s; Member, Gympie Mineowners' Association;  Member, Gympie Accident Fund;  Member, Gympie Chamber of Commerce; Member, Northern Drainage Board; Grand Master, Freemasons
    
    

    


"
"Clauson,  Paul John ",/2190774023,"
    
            Birth Date: 16 September 1949 (Brisbane, Queensland, Australia)
               
            
Parents: Alan George Malcolm Clauson and Ethel Marjory (nee Montgomery) 
            Family: Catherine Anne O'Malley on 29 April 1982, 1 son, 1 daughter 
             
            
Education: Wellington Point Primary School; Church of England Grammar School, Brisbane; University of Queensland 
            Religion: Church of England 
            
     ","
     Personal
    
        
    
    
            Birth Date: 16 September 1949 (Brisbane, Queensland, Australia)
               
            
Parents: Alan George Malcolm Clauson and Ethel Marjory (nee Montgomery) 
            Family: Catherine Anne O'Malley on 29 April 1982, 1 son, 1 daughter 
             
            
Education: Wellington Point Primary School; Church of England Grammar School, Brisbane; University of Queensland 
            Religion: Church of England 
            
     
    
    
    Career
        Admitted to the Bar in 1987; Owned general legal practice, 1975 to 1985; Judge's Associate, 1974 to 1975; Solicitor and public servant, 1972 to 1973
        
        Party Positions:
 (NP) Member, Government Party Committees: Lands; Forestry; Mapping and Surveying; Police; Justice; Welfare; Industry, Small Business & Technology; Corrective Services, Administration Services and ValuationParliamentary Representation:
            House
                      Party
                      Electorate
                      From
                    To
                    Elected/Departure Reason                      
                Assembly 
                NP
                Redlands
                2 Nov 1985
                2 Dec 1989
                By-election
            

    
            Parliamentary Service
            Description
                      From
                      To                
                Attorney-General and Minister for Heritage and the Arts 
                
25 Sep 1989
                
7 Dec 1989
            Minister for Justice and Attorney-General and Minister for Corrective Services 
                
19 Jan 1989
                
29 Aug 1989
            Minister for Justice and Attorney-General 
                
9 Dec 1987
                
19 Jan 1989
            Attorney-General and Minister for Justice 
                
18 Nov 1986
                
1 Dec 1987
            Additional Information
    Notes: Interests include yachting, gardening, fishing, reading, politics, history, cricket and local community groups. Member: Royal Queensland Yacht Squadron; United Service (Qld); Redlands Cricketers Club; and Redlands Bowls Club. He played a pivotal role as Attorney-General during the Fitzgerald Inquiry from 1987 to 1989
    
    Sources: Image sourced from the collection of the Queensland Parliamentary Library and Research Service; Cadman, Kerith A, eds, Who's Who in Australia, XXVIth edition (Melbourne: The Herald and Weekly Times Ltd, 1988)

    [Last Modified: Tuesday, 6 June 2017]


"
"Wood,  Ernest Gaden Western, MBE (Dick)",/2190845388,"
    
            Birth Date: 22 November 1906 (Toowoomba, Queensland, Australia)
            
Death Date: 5 July 1984 (Wellington Point, Queensland, Australia)  
            
Parents: George Orme Western Wood and Helen Portia Rosalind (nee Davidson) 
            Family: Mary Tudor Hill on 22 September 1938, 2 sons, 2 daugthers 
             
            
Education: Rangeville State School, Toowoomba; Toowoomba Grammar School 
            Religion: Church of England 
            Relationship to Politician: Mr Wood's grandfather, Western Wood,  was a member of the Queensland Legislative Council, 26 April 1861 to 20 March 1868
     ","
     Personal
    
        
    
    
            Birth Date: 22 November 1906 (Toowoomba, Queensland, Australia)
            
Death Date: 5 July 1984 (Wellington Point, Queensland, Australia)  
            
Parents: George Orme Western Wood and Helen Portia Rosalind (nee Davidson) 
            Family: Mary Tudor Hill on 22 September 1938, 2 sons, 2 daugthers 
             
            
Education: Rangeville State School, Toowoomba; Toowoomba Grammar School 
            Religion: Church of England 
            Relationship to Politician: Mr Wood's grandfather, Western Wood,  was a member of the Queensland Legislative Council, 26 April 1861 to 20 March 1868
     
    
    
    Career
        Jackeroo; Overseer, Boulia Station, North-West Queensland; Commercial Banking Company of Sydney, working around the Darling Downs; Australian Pastoral Company; Public Servant, Lands Department; Field Officer, Northern Territory Administration, 1939; Lands Commissioner, Land Administration Commission, Queensland; Small crops farmer, Wellington Point, 1952 to 1966
        
        
        Official Awards: Member of the Most Excellent Order of the British Empire for outstanding service to local government and community activities in 1976
        
        Local Government Service: Councillor, Redland Shire Council, from 1958; Chairman, Redland Shire Council, from 1961 (for seven consecutive terms)
        
    Parliamentary Representation:
            House
                      Party
                      Electorate
                      From
                    To
                    Elected/Departure Reason                      
                Assembly 
                CP
                Logan
                28 May 1966
                17 May 1969
                
            

    

      Additional Information
    Notes: Member: Moreton Regional Coordination Council, South Coast Fire Brigades Board and the Parochial Council of the Church of England. Chairman: Redlands Strawberry Festival Committee and Redland Fruit Growers Council.  He was awarded one of the first life membership honours of the Redland Lions Club. Life member: Redlands Show Society; Redlands Tourist Committee; Redlands Cricketers Club; and Redlands Agricultural, Horticultural and Industrial Society. He was sent to the Northern Territory to implement the Payne-Fletcher Report for the development of the territory. As Redland Shire Chairman, he inherited the threat of a proposed cement works at Ormiston Point. This situation was resolved when he was elected state member for Logan and he forced through the town plan. As Redland Shire Chairman, he was responsible for the building of a bridge that linked Wynnum and Cleveland, named the EGW Wood Bridge. He also preserved railway land between Cleveland and Thorneside when the steam trains were taken off and the lines removed. That decision paved the way for the electric line to be brought to the shire in the 1980s
    
    Sources: Waterson, DB and John Arnold, Biographical Register of the Queensland Parliament: 1930-1980 (Canberra: ANU Press, 1982); Bayside Bulletin, ' Big turnout for Dick Wood funeral', 20 July 2004; Redland Times, 'Community leaders pay tribute to Dick Wook', 11 July 1984; Redland Local News, 'Farewell to Redland shire's grand old man', 11 July 1984

    [Last Modified: Tuesday, 11 July 2017]


"
"Lalor,  James  ",/2192478313,"
    
            Birth Date: 7 July 1829 (Ballybrittas, Queen's County, Ireland)
            
Death Date: 16 February 1922 (Roma, Queensland, Australia)  
            
Parents: William Lalor and Eliza (nee Connor) 
            Family: Helen Gorry on 20 May 1869, 3 sons, 2 daughters 
             
             
            
Religion: Roman Catholic 
            
     ","
     Personal
    
        
    
    
            Birth Date: 7 July 1829 (Ballybrittas, Queen's County, Ireland)
            
Death Date: 16 February 1922 (Roma, Queensland, Australia)  
            
Parents: William Lalor and Eliza (nee Connor) 
            Family: Helen Gorry on 20 May 1869, 3 sons, 2 daughters 
             
             
            
Religion: Roman Catholic 
            
     
    
    
    Career
        Member, Leichhardt Rabbit Board;  President, Roma Hospital Board
        
        
        
        
        Local Government Service: Member, Bungil Shire Council; Alderman and Mayor of Roma
        
    Parliamentary Representation:
            House
                      Party
                      Electorate
                      From
                    To
                    Elected/Departure Reason                      
                Assembly 
                NONE
                Maranoa
                5 Dec 1878
                12 May 1888
                
            Council 
                NP
                Legislative Council
                23 Aug 1888
                11 Aug 1921
                
            

    

      Additional Information
    Notes: Member: School of Arts and Western Agricultural and Pastoral Association
    
    Sources: Image sourced from MJ Fox, The history of Queensland: its people and industries (1919); Waterson, DB, A Biographical Register of the Queensland Parliament: 1860-1929, 2nd revised edition (Sydney: Casket Publications, 2001)

    


"
