position_ID,position_name
Q6865974,"Minister for Tourism, Major Events, Hospitality and Racing"
Q6865979,Minister for Trade
Q6865985,Minister for Veterans' Affairs
Q6865994,Minister for the Arts
Q6866013,Minister for the Status of Women
Q7241304,President of the Australian Senate
Q7241370,President of the South Australian Legislative Council
Q7241387,President of the Western Australian Legislative Council
Q7574256,Speaker of the House of Representatives
Q7574285,Speaker of the Legislative Assembly of Queensland
Q7574300,Speaker of the New South Wales Legislative Assembly
Q7574305,Speaker of the Northern Territory Legislative Assembly
Q7574308,Speaker of the Tasmanian House of Assembly
Q7574624,Special Minister of State
Q7836757,Treasurer of Queensland
Q7836759,Treasurer of South Australia
Q7836762,Treasurer of Western Australia
