politician,date_of_birth,place_of_birth,date_of_death,position,start_date,end_date,electoral_district,replaced_by,replaces,series_ordinal,flag
Q1239052,+1925-08-21T00:00:00Z,Q3141,+2006-08-28T00:00:00Z,Q18912794,+1969-10-25T00:00:00Z,+1977-11-10T00:00:00Z,Q2973653,Q7358415,NA,NA,0
Q1239291,+1951-09-09T00:00:00Z,Q5112,NA,Q18912794,+1984-12-01T00:00:00Z,+2008-07-14T00:00:00Z,Q1074088,Q6146653,NA,NA,0
Q1239291,+1951-09-09T00:00:00Z,Q5112,NA,Q2660943,+1996-03-11T00:00:00Z,+2007-12-03T00:00:00Z,NA,Q1376420,Q381902,NA,0
Q1239291,+1951-09-09T00:00:00Z,Q5112,NA,Q2460433,+1994-00-00T00:00:00Z,+1995-00-00T00:00:00Z,NA,Q51330,Q1579545,NA,0
Q1239291,+1951-09-09T00:00:00Z,Q5112,NA,Q50321853,+2014-06-27T00:00:00Z,+2018-03-20T00:00:00Z,NA,Q5537216,Q3108729,NA,0
Q1239579,+1916-04-14T00:00:00Z,Q1018373,+2003-09-09T00:00:00Z,Q6814428,+1950-02-22T00:00:00Z,+1975-11-11T00:00:00Z,Q56649104,NA,NA,NA,0
Q1239579,+1916-04-14T00:00:00Z,Q1018373,+2003-09-09T00:00:00Z,Q2660943,NA,NA,NA,NA,NA,NA,0
Q1239776,+1879-11-19T00:00:00Z,Q34932,+1960-11-19T00:00:00Z,Q18912794,+1919-12-13T00:00:00Z,+1931-12-19T00:00:00Z,Q917665,Q5541584,Q8009052,NA,0
Q1239776,+1879-11-19T00:00:00Z,Q34932,+1960-11-19T00:00:00Z,Q18912794,+1934-09-15T00:00:00Z,+1937-09-21T00:00:00Z,Q2973718,Q8013716,Q5542020,NA,0
Q1251694,+1929-12-31T00:00:00Z,Q828526,NA,Q18912794,+1957-09-14T00:00:00Z,+1984-01-18T00:00:00Z,Q1073994,Q5075662,Q15501239,NA,0
Q1251694,+1929-12-31T00:00:00Z,Q828526,NA,Q5261065,+1971-02-05T00:00:00Z,+1972-12-05T00:00:00Z,NA,Q3216921,Q23386,2,0
Q1251694,+1929-12-31T00:00:00Z,Q828526,NA,Q5261065,+1975-11-12T00:00:00Z,+1983-03-11T00:00:00Z,NA,Q6555551,Q444481,NA,0
Q1251694,+1929-12-31T00:00:00Z,Q828526,NA,Q28841847,+1971-06-23T00:00:00Z,NA,NA,NA,NA,NA,0
Q1281683,+1951-07-04T00:00:00Z,Q3130,NA,Q18912794,+2010-08-21T00:00:00Z,+2017-11-11T00:00:00Z,Q817830,NA,Q993978,NA,0
Q1281683,+1951-07-04T00:00:00Z,Q3130,NA,Q18912794,+2017-12-16T00:00:00Z,NA,Q817830,NA,NA,NA,0
Q13474753,+1878-06-19T00:00:00Z,Q2961059,+1931-03-23T00:00:00Z,Q6814428,+1920-07-01T00:00:00Z,+1931-03-23T00:00:00Z,Q56649112,Q7815052,NA,NA,0
Q1351648,+1891-03-02T00:00:00Z,Q1026829,+1952-06-03T00:00:00Z,Q18912794,+1940-09-21T00:00:00Z,+1943-08-21T00:00:00Z,Q2973820,Q7795180,Q7659939,NA,0
Q1351648,+1891-03-02T00:00:00Z,Q1026829,+1952-06-03T00:00:00Z,Q19202748,+1932-06-11T00:00:00Z,+1940-08-23T00:00:00Z,Q29079928,Q4800690,Q5415358,NA,0
Q13522531,+1945-07-06T00:00:00Z,Q3130,NA,Q25514686,+1990-04-04T00:00:00Z,+1992-05-27T00:00:00Z,NA,NA,NA,NA,0
Q13522531,+1945-07-06T00:00:00Z,Q3130,NA,Q6865898,+1987-09-18T00:00:00Z,+1993-03-24T00:00:00Z,NA,Q15525005,NA,NA,0
Q13522531,+1945-07-06T00:00:00Z,Q3130,NA,Q6814428,+1978-07-01T00:00:00Z,+1993-07-05T00:00:00Z,Q56649108,NA,NA,NA,0
Q13522531,+1945-07-06T00:00:00Z,Q3130,NA,Q7574624,+1987-02-16T00:00:00Z,+1987-07-24T00:00:00Z,NA,NA,NA,NA,0
Q1355892,+1895-10-05T00:00:00Z,Q3141,+1981-04-25T00:00:00Z,Q18912794,+1951-07-28T00:00:00Z,+1960-06-02T00:00:00Z,Q5284492,Q7298288,Q7795045,NA,0
Q1376420,+1955-12-12T00:00:00Z,Q995005,NA,Q3315112,+2010-09-13T00:00:00Z,+2013-09-18T00:00:00Z,NA,Q5235713,Q466003,NA,0
Q1376420,+1955-12-12T00:00:00Z,Q995005,NA,Q6865979,+2010-06-28T00:00:00Z,+2010-09-13T00:00:00Z,NA,Q5180933,Q1400580,NA,0
Q1376420,+1955-12-12T00:00:00Z,Q995005,NA,Q2660943,+2007-12-03T00:00:00Z,+2010-09-13T00:00:00Z,NA,Q43135,Q1239291,NA,0
Q1376420,+1955-12-12T00:00:00Z,Q995005,NA,Q18912794,+1993-03-13T00:00:00Z,+2013-09-07T00:00:00Z,Q2973806,Q4708273,Q7322458,NA,0
Q1382174,+1905-04-01T00:00:00Z,Q606212,+1993-01-09T00:00:00Z,Q610669,+1969-04-30T00:00:00Z,+1974-07-11T00:00:00Z,NA,Q1354851,Q335310,17,0
Q1382174,+1905-04-01T00:00:00Z,Q606212,+1993-01-09T00:00:00Z,Q2660943,+1964-01-01T00:00:00Z,+1969-01-01T00:00:00Z,NA,Q1538010,Q1445155,NA,0
Q1382174,+1905-04-01T00:00:00Z,Q606212,+1993-01-09T00:00:00Z,Q3315112,+1963-01-01T00:00:00Z,+1964-01-01T00:00:00Z,NA,Q7488222,Q4815639,NA,0
Q1382174,+1905-04-01T00:00:00Z,Q606212,+1993-01-09T00:00:00Z,Q6865868,+1951-01-01T00:00:00Z,+1963-01-01T00:00:00Z,NA,Q5075430,Q335310,NA,0
Q1382174,+1905-04-01T00:00:00Z,Q606212,+1993-01-09T00:00:00Z,Q18912794,+1949-12-11T00:00:00Z,+1969-02-12T00:00:00Z,Q2973513,Q7925917,NA,NA,0
Q1388459,+1894-04-30T00:00:00Z,Q5328922,+1965-11-02T00:00:00Z,Q5096795,+1960-02-15T00:00:00Z,+1962-10-24T00:00:00Z,NA,Q6530880,Q16067484,NA,0
Q1388459,+1894-04-30T00:00:00Z,Q5328922,+1965-11-02T00:00:00Z,Q4818607,+1941-10-07T00:00:00Z,+1949-12-19T00:00:00Z,NA,Q16008459,Q152666,NA,0
Q1388459,+1894-04-30T00:00:00Z,Q5328922,+1965-11-02T00:00:00Z,Q2660943,+1941-10-07T00:00:00Z,+1949-12-19T00:00:00Z,NA,Q2070305,Q1452902,NA,0
Q1388459,+1894-04-30T00:00:00Z,Q5328922,+1965-11-02T00:00:00Z,Q18912794,+1940-09-21T00:00:00Z,+1958-11-22T00:00:00Z,Q1074151,Q6525667,Q4710678,NA,0
Q1388459,+1894-04-30T00:00:00Z,Q5328922,+1965-11-02T00:00:00Z,Q19202748,+1925-05-30T00:00:00Z,+1930-09-18T00:00:00Z,Q5355074,Q16023289,Q16030926,NA,0
Q1388459,+1894-04-30T00:00:00Z,Q5328922,+1965-11-02T00:00:00Z,Q18912794,+1958-11-22T00:00:00Z,+1960-02-10T00:00:00Z,Q1074124,Q4895148,Q7372234,NA,0
Q1388459,+1894-04-30T00:00:00Z,Q5328922,+1965-11-02T00:00:00Z,Q121998,NA,NA,NA,NA,NA,NA,0
Q1396927,+1876-07-01T00:00:00Z,Q459900,+1921-08-01T00:00:00Z,Q18526194,NA,NA,NA,NA,NA,NA,0
Q1396927,+1876-07-01T00:00:00Z,Q459900,+1921-08-01T00:00:00Z,Q18912794,+1919-12-13T00:00:00Z,+1921-08-01T00:00:00Z,Q5284575,Q8014265,Q5158021,NA,0
Q1396927,+1876-07-01T00:00:00Z,Q459900,+1921-08-01T00:00:00Z,Q13526082,+1915-06-01T00:00:00Z,+1919-10-22T00:00:00Z,NA,Q7693792,Q5275573,19,0
Q1396927,+1876-07-01T00:00:00Z,Q459900,+1921-08-01T00:00:00Z,Q4818604,NA,NA,NA,NA,NA,NA,0
Q1396927,+1876-07-01T00:00:00Z,Q459900,+1921-08-01T00:00:00Z,Q6508557,NA,NA,NA,NA,NA,NA,0
Q1400580,+1949-02-26T00:00:00Z,Q3141,NA,Q6865888,+2010-09-14T00:00:00Z,+2013-03-21T00:00:00Z,NA,Q335697,Q335697,NA,0
Q1400580,+1949-02-26T00:00:00Z,Q3141,NA,Q18912794,+1990-03-24T00:00:00Z,+2013-08-05T00:00:00Z,Q2973653,Q5126228,Q6536763,NA,0
Q1400580,+1949-02-26T00:00:00Z,Q3141,NA,Q6865994,+2010-09-14T00:00:00Z,+2013-03-21T00:00:00Z,NA,Q1449483,Q528907,NA,0
Q1400580,+1949-02-26T00:00:00Z,Q3141,NA,Q11796967,+2010-06-28T00:00:00Z,+2010-09-14T00:00:00Z,NA,Q528907,Q41563,NA,0
Q1400580,+1949-02-26T00:00:00Z,Q3141,NA,Q6865809,+2010-06-28T00:00:00Z,+2010-09-14T00:00:00Z,NA,Q466583,Q41563,NA,0
Q1400580,+1949-02-26T00:00:00Z,Q3141,NA,Q11796976,+2010-06-28T00:00:00Z,+2010-09-14T00:00:00Z,NA,Q7684036,Q41563,NA,0
Q1400580,+1949-02-26T00:00:00Z,Q3141,NA,Q6865979,+2007-12-03T00:00:00Z,+2010-06-28T00:00:00Z,NA,Q1376420,Q591604,NA,0
Q1400580,+1949-02-26T00:00:00Z,Q3141,NA,Q6865745,+1991-06-04T00:00:00Z,+1993-12-23T00:00:00Z,NA,Q3641283,Q1700698,NA,0
Q1400580,+1949-02-26T00:00:00Z,Q3141,NA,Q6865883,+1990-04-04T00:00:00Z,+1991-06-04T00:00:00Z,NA,Q7369337,Q4864363,NA,0
Q14201517,+1965-06-11T00:00:00Z,Q148349,NA,Q19007285,+2002-07-20T00:00:00Z,+2015-08-04T00:00:00Z,Q5284526,Q21062247,NA,NA,0
Q14201517,+1965-06-11T00:00:00Z,Q148349,NA,Q6814428,+2015-08-19T00:00:00Z,NA,Q56649108,NA,Q542278,NA,0
Q1445155,+1903-06-22T00:00:00Z,Q3130,+1997-07-13T00:00:00Z,Q3409185,+1964-04-27T00:00:00Z,+1981-02-11T00:00:00Z,NA,Q5669075,Q15513909,7,0
Q1445155,+1903-06-22T00:00:00Z,Q3130,+1997-07-13T00:00:00Z,Q4818607,NA,NA,NA,NA,NA,NA,0
Q1445155,+1903-06-22T00:00:00Z,Q3130,+1997-07-13T00:00:00Z,Q18912794,+1958-03-08T00:00:00Z,+1964-04-24T00:00:00Z,Q2973800,Q1563218,Q5919090,NA,0
Q1445155,+1903-06-22T00:00:00Z,Q3130,+1997-07-13T00:00:00Z,Q2660943,NA,NA,NA,NA,NA,NA,0
Q1445155,+1903-06-22T00:00:00Z,Q3130,+1997-07-13T00:00:00Z,Q28841847,NA,NA,NA,NA,NA,NA,0
Q1449483,+1969-11-04T00:00:00Z,Q3130,NA,Q11796950,+2013-07-01T00:00:00Z,+2013-09-18T00:00:00Z,NA,NA,NA,NA,0
Q1449483,+1969-11-04T00:00:00Z,Q3130,NA,Q18810377,+2003-03-22T00:00:00Z,+2004-06-24T00:00:00Z,NA,NA,NA,NA,0
Q1449483,+1969-11-04T00:00:00Z,Q3130,NA,Q18912794,+2004-10-09T00:00:00Z,NA,Q2973888,NA,Q6524050,NA,0
Q1449483,+1969-11-04T00:00:00Z,Q3130,NA,Q6865994,+2013-03-25T00:00:00Z,+2013-09-18T00:00:00Z,NA,NA,NA,NA,0
Q1449483,+1969-11-04T00:00:00Z,Q3130,NA,Q11796986,+2010-09-14T00:00:00Z,+2013-07-01T00:00:00Z,NA,NA,NA,NA,0
Q1449483,+1969-11-04T00:00:00Z,Q3130,NA,Q6865745,+2007-12-03T00:00:00Z,+2010-09-14T00:00:00Z,NA,NA,NA,NA,0
Q145103,+1974-04-16T00:00:00Z,Q3130,NA,Q18912794,+2019-05-18T00:00:00Z,NA,Q1074025,NA,Q348577,NA,0
Q1452902,+1884-08-14T00:00:00Z,Q57278,+1961-06-30T00:00:00Z,Q18912794,+1931-12-19T00:00:00Z,+1946-08-16T00:00:00Z,Q2973800,Q5919090,Q4711144,NA,0
Q1452902,+1884-08-14T00:00:00Z,Q57278,+1961-06-30T00:00:00Z,Q2660943,NA,NA,NA,NA,NA,NA,0
Q1452902,+1884-08-14T00:00:00Z,Q57278,+1961-06-30T00:00:00Z,Q6865821,+1939-04-26T00:00:00Z,+1941-08-29T00:00:00Z,NA,NA,NA,NA,0
Q1466753,+1947-03-02T00:00:00Z,Q3183,NA,Q18912794,+1974-05-18T00:00:00Z,+1975-12-13T00:00:00Z,Q2973868,Q7176587,NA,NA,0
Q1466753,+1947-03-02T00:00:00Z,Q3183,NA,Q6865833,+1983-03-11T00:00:00Z,+1984-12-13T00:00:00Z,NA,Q7177577,Q1894845,NA,0
Q1466753,+1947-03-02T00:00:00Z,Q3183,NA,Q2390270,+1991-12-27T00:00:00Z,+1993-12-22T00:00:00Z,NA,Q7288278,Q7288278,NA,0
Q1466753,+1947-03-02T00:00:00Z,Q3183,NA,Q11796967,+1987-07-24T00:00:00Z,+1991-12-27T00:00:00Z,NA,NA,NA,NA,0
Q1466753,+1947-03-02T00:00:00Z,Q3183,NA,Q6865979,+1984-12-13T00:00:00Z,+1987-07-24T00:00:00Z,NA,NA,NA,NA,0
Q1466753,+1947-03-02T00:00:00Z,Q3183,NA,Q18912794,+1977-12-10T00:00:00Z,+1994-02-04T00:00:00Z,Q2973587,Q434475,Q2266155,NA,0
Q1488379,+1855-08-25T00:00:00Z,Q1538454,+1931-10-28T00:00:00Z,Q4818607,+1909-06-02T00:00:00Z,+1910-04-29T00:00:00Z,NA,Q152666,Q152666,8,0
Q1488379,+1855-08-25T00:00:00Z,Q1538454,+1931-10-28T00:00:00Z,Q2660943,NA,NA,NA,NA,NA,NA,0
Q1488379,+1855-08-25T00:00:00Z,Q1538454,+1931-10-28T00:00:00Z,Q18220900,+1887-03-22T00:00:00Z,+1890-04-22T00:00:00Z,Q5355599,NA,NA,NA,0
Q1488379,+1855-08-25T00:00:00Z,Q1538454,+1931-10-28T00:00:00Z,Q18912794,+1901-03-30T00:00:00Z,+1903-12-16T00:00:00Z,Q5284566,NA,NA,NA,0
Q1488379,+1855-08-25T00:00:00Z,Q1538454,+1931-10-28T00:00:00Z,Q18912794,+1903-12-16T00:00:00Z,+1919-12-13T00:00:00Z,Q5284489,Q6915775,NA,NA,0
Q1488379,+1855-08-25T00:00:00Z,Q1538454,+1931-10-28T00:00:00Z,Q18220900,+1895-06-08T00:00:00Z,+1896-04-24T00:00:00Z,Q16895950,NA,NA,NA,0
Q1488379,+1855-08-25T00:00:00Z,Q1538454,+1931-10-28T00:00:00Z,Q18220900,+1897-05-22T00:00:00Z,+1901-05-09T00:00:00Z,Q16895950,NA,NA,NA,0
Q1488379,+1855-08-25T00:00:00Z,Q1538454,+1931-10-28T00:00:00Z,Q4818610,+1899-12-01T00:00:00Z,+1899-12-08T00:00:00Z,NA,NA,NA,NA,0
Q14946875,+1939-09-03T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Q1494887,+1958-07-06T00:00:00Z,Q3130,NA,Q30185,NA,NA,NA,NA,NA,NA,0
Q1494887,+1958-07-06T00:00:00Z,Q3130,NA,Q6814428,+2003-02-18T00:00:00Z,+2013-09-06T00:00:00Z,Q56649107,Q8068367,Q6759831,NA,0
Q1494887,+1958-07-06T00:00:00Z,Q3130,NA,Q493649,+2000-10-18T00:00:00Z,+2001-11-05T00:00:00Z,NA,Q713954,Q1735672,4,0
Q1494887,+1958-07-06T00:00:00Z,Q3130,NA,Q6814365,+1989-03-04T00:00:00Z,+1995-02-18T00:00:00Z,Q2973774,NA,NA,NA,0
Q14954679,+1963-10-29T00:00:00Z,Q3141,NA,Q18912794,+2018-03-17T00:00:00Z,+2019-05-18T00:00:00Z,Q2973440,NA,Q16213376,NA,0
Q14954679,+1963-10-29T00:00:00Z,Q3141,NA,Q18912794,+2019-05-18T00:00:00Z,NA,Q56040847,NA,NA,NA,0
Q152666,+1862-09-25T00:00:00Z,Q84,+1952-10-28T00:00:00Z,Q319145,+1915-10-27T00:00:00Z,+1923-02-09T00:00:00Z,NA,Q23358,Q314016,7,0
Q152666,+1862-09-25T00:00:00Z,Q84,+1952-10-28T00:00:00Z,Q4818607,+1938-00-00T00:00:00Z,+1941-00-00T00:00:00Z,NA,NA,NA,NA,0
Q152666,+1862-09-25T00:00:00Z,Q84,+1952-10-28T00:00:00Z,Q18912794,+1901-03-29T00:00:00Z,+1917-05-05T00:00:00Z,Q5284575,Q5158021,NA,NA,0
Q152666,+1862-09-25T00:00:00Z,Q84,+1952-10-28T00:00:00Z,Q19202748,+1894-07-17T00:00:00Z,+1901-06-11T00:00:00Z,Q5356010,Q6114660,NA,NA,0
Q152666,+1862-09-25T00:00:00Z,Q84,+1952-10-28T00:00:00Z,Q2660943,NA,NA,NA,NA,NA,NA,0
Q152666,+1862-09-25T00:00:00Z,Q84,+1952-10-28T00:00:00Z,Q28841847,NA,NA,NA,NA,NA,NA,0
Q152666,+1862-09-25T00:00:00Z,Q84,+1952-10-28T00:00:00Z,Q18912794,+1917-05-05T00:00:00Z,+1922-12-16T00:00:00Z,Q2973455,Q5535011,Q4722791,NA,0
Q152666,+1862-09-25T00:00:00Z,Q84,+1952-10-28T00:00:00Z,Q18912794,+1922-12-16T00:00:00Z,+1949-12-10T00:00:00Z,Q2973863,Q8013382,Q5596941,NA,0
Q152666,+1862-09-25T00:00:00Z,Q84,+1952-10-28T00:00:00Z,Q18912794,+1949-12-10T00:00:00Z,+1952-10-28T00:00:00Z,Q1074189,Q5672938,NA,NA,0
Q1538010,+1914-08-06T00:00:00Z,Q530643,+2001-11-27T00:00:00Z,Q18912794,+1949-12-10T00:00:00Z,+1969-10-25T00:00:00Z,Q2973574,Q5487704,Q16012277,NA,0
Q1538010,+1914-08-06T00:00:00Z,Q530643,+2001-11-27T00:00:00Z,Q2660943,NA,NA,NA,NA,NA,NA,0
Q1538010,+1914-08-06T00:00:00Z,Q530643,+2001-11-27T00:00:00Z,Q121998,NA,NA,NA,NA,NA,NA,0
Q15452349,+1952-01-26T00:00:00Z,Q3130,NA,Q6814428,+1984-12-01T00:00:00Z,+1990-06-30T00:00:00Z,Q56649111,NA,NA,NA,0
Q15452355,+1919-08-20T00:00:00Z,Q755507,+1988-05-15T00:00:00Z,Q6814428,+1965-07-01T00:00:00Z,+1983-02-04T00:00:00Z,Q56649111,NA,NA,NA,0
Q15452356,+1864-02-26T00:00:00Z,Q184618,+1928-06-19T00:00:00Z,Q6814428,+1904-01-01T00:00:00Z,+1928-06-19T00:00:00Z,Q56649111,Q6246053,NA,NA,0
Q15452356,+1864-02-26T00:00:00Z,Q184618,+1928-06-19T00:00:00Z,Q18526194,+1899-03-11T00:00:00Z,+1902-03-11T00:00:00Z,Q5355198,Q20983391,Q6080855,NA,0
Q15452356,+1864-02-26T00:00:00Z,Q184618,+1928-06-19T00:00:00Z,Q7241304,+1913-07-09T00:00:00Z,+1926-06-30T00:00:00Z,NA,Q6250354,Q5672929,4,0
Q15452396,+1908-05-28T00:00:00Z,Q185404,+1991-06-20T00:00:00Z,Q18912794,+1949-12-10T00:00:00Z,+1966-10-31T00:00:00Z,Q5284556,Q7407281,Q16010296,NA,0
Q15452396,+1908-05-28T00:00:00Z,Q185404,+1991-06-20T00:00:00Z,Q3249421,+1973-12-10T00:00:00Z,+1975-11-12T00:00:00Z,NA,Q6231793,Q5494804,NA,0
Q15452396,+1908-05-28T00:00:00Z,Q185404,+1991-06-20T00:00:00Z,Q38255984,+1947-12-13T00:00:00Z,+1949-12-10T00:00:00Z,NA,NA,NA,NA,0
Q15452941,+1955-12-20T00:00:00Z,Q204860,NA,Q18912794,+1990-03-24T00:00:00Z,+1998-10-03T00:00:00Z,Q2973779,Q6740653,Q4731539,NA,0
Q15452951,+1864-10-22T00:00:00Z,Q385907,+1938-12-21T00:00:00Z,Q18912794,+1922-12-16T00:00:00Z,+1928-10-09T00:00:00Z,Q2973587,NA,NA,NA,0
Q15452951,+1864-10-22T00:00:00Z,Q385907,+1938-12-21T00:00:00Z,Q18912794,+1931-12-19T00:00:00Z,+1934-08-07T00:00:00Z,Q2973587,NA,NA,NA,0
Q15453088,+1919-04-15T00:00:00Z,Q270734,+1992-10-23T00:00:00Z,Q18912794,+1961-12-09T00:00:00Z,+1963-11-30T00:00:00Z,Q2973472,Q8039924,Q16004072,NA,0
Q15453295,+1872-00-00T00:00:00Z,Q7553567,+1948-09-09T00:00:00Z,Q18912794,+1906-12-12T00:00:00Z,+1913-05-31T00:00:00Z,Q2973794,Q7167212,Q5339645,NA,0
Q15453664,+1926-11-15T00:00:00Z,Q7056074,+1976-10-13T00:00:00Z,Q6814428,+1968-02-21T00:00:00Z,+1976-10-13T00:00:00Z,Q56649112,Q4823172,Q356411,NA,0
Q15456532,+1912-03-12T00:00:00Z,Q3829397,+1986-08-01T00:00:00Z,Q6814428,+1971-07-01T00:00:00Z,+1974-05-18T00:00:00Z,Q56649104,NA,NA,NA,0
Q15462333,+1941-10-28T00:00:00Z,Q3183,NA,Q6814428,+1973-07-01T00:00:00Z,+1990-02-27T00:00:00Z,Q56649104,Q5981115,NA,NA,0
Q15462333,+1941-10-28T00:00:00Z,Q3183,NA,Q18912794,+1990-03-24T00:00:00Z,+1993-02-08T00:00:00Z,Q2973802,Q6302822,NA,NA,0
Q15485299,+1939-10-26T00:00:00Z,Q3183,NA,Q18912794,+1996-03-02T00:00:00Z,+1998-10-03T00:00:00Z,Q5284556,Q7970485,Q7970485,NA,0
Q15485299,+1939-10-26T00:00:00Z,Q3183,NA,Q26998278,+1974-10-19T00:00:00Z,+1994-05-17T00:00:00Z,Q5356204,Q7172466,NA,NA,0
Q15485977,+1895-09-09T00:00:00Z,Q47002,+1974-04-22T00:00:00Z,Q6814428,+1944-07-01T00:00:00Z,+1968-06-30T00:00:00Z,Q56649108,NA,NA,NA,0
Q15485977,+1895-09-09T00:00:00Z,Q47002,+1974-04-22T00:00:00Z,Q6865821,+1946-06-18T00:00:00Z,+1949-12-19T00:00:00Z,NA,Q16004106,Q6134204,NA,0
