names,page,first_name,title,electorate,house,party
Bardolph,https://members.parliament.sa.gov.au/Detail.aspx?pid=3598,Douglas,Mr,Adelaide,House of Assembly,Represented multiple parties
Bardolph,https://members.parliament.sa.gov.au/Detail.aspx?pid=4062,Kenneth,Mr,Served in Multiple Electorates,Legislative Council,Australian Labor Party
Barritt,https://members.parliament.sa.gov.au/Detail.aspx?pid=3599,Joseph,Mr,Barossa,House of Assembly,Unknown
Barrow,https://members.parliament.sa.gov.au/Detail.aspx?pid=4197,John,Mr,Served in Multiple Electorates,Represented multiple houses,Unknown
Bartlett,https://members.parliament.sa.gov.au/Detail.aspx?pid=3600,Harry,Mr,Yorke Peninsula,House of Assembly,Unknown
Bartley,https://members.parliament.sa.gov.au/Detail.aspx?pid=4063,William,Mr,unknown,Legislative Council,Unknown
Barwell KCMG,https://members.parliament.sa.gov.au/Detail.aspx?pid=3601,Sir Henry,Hon,Stanley,House of Assembly,Represented multiple parties
Basedow,https://members.parliament.sa.gov.au/Detail.aspx?pid=3602,Herbert,Dr,Barossa,House of Assembly,Independent
Basedow,https://members.parliament.sa.gov.au/Detail.aspx?pid=4198,Martin,Mr,Served in Multiple Electorates,Represented multiple houses,Unknown
Bass,https://members.parliament.sa.gov.au/Detail.aspx?pid=2494,Sam,Mr,Served in Multiple Electorates,House of Assembly,Liberal Party
Batchelor,https://members.parliament.sa.gov.au/Detail.aspx?pid=3603,Lee,Hon,Served in Multiple Electorates,House of Assembly,Australian Labor Party
Beaglehole,https://members.parliament.sa.gov.au/Detail.aspx?pid=3604,William,Mr,Served in Multiple Electorates,House of Assembly,Unknown
Bean,https://members.parliament.sa.gov.au/Detail.aspx?pid=3605,George,Mr,West Torrens,House of Assembly,Unknown
Bean,https://members.parliament.sa.gov.au/Detail.aspx?pid=3606,William,Mr,West Torrens,House of Assembly,Unknown
Becker AM,https://members.parliament.sa.gov.au/Detail.aspx?pid=2495,Heini,Mr,Served in Multiple Electorates,House of Assembly,Represented multiple parties
Beerworth,https://members.parliament.sa.gov.au/Detail.aspx?pid=4199,James,Mr,Served in Multiple Electorates,Represented multiple houses,Unknown
Bernard,https://members.parliament.sa.gov.au/Detail.aspx?pid=4064,Robert,Mr,unknown,Legislative Council,Unknown
Bevan,https://members.parliament.sa.gov.au/Detail.aspx?pid=4065,Stanley,Hon,Served in Multiple Electorates,Legislative Council,Australian Labor Party
Bews,https://members.parliament.sa.gov.au/Detail.aspx?pid=3607,David,Mr,Wallaroo,House of Assembly,Unknown
Bice,https://members.parliament.sa.gov.au/Detail.aspx?pid=4067,John,Hon,Served in Multiple Electorates,Legislative Council,LCL
Bice KCMG,https://members.parliament.sa.gov.au/Detail.aspx?pid=4066,Sir John,Hon,Served in Multiple Electorates,Legislative Council,Unknown
Billard,https://members.parliament.sa.gov.au/Detail.aspx?pid=2496,Brian,Dr,Newland,House of Assembly,Liberal Party
Birrell,https://members.parliament.sa.gov.au/Detail.aspx?pid=3608,Frederick,Mr,North Adelaide,House of Assembly,Australian Labor Party
Blackburn VC CMG CBE ED,https://members.parliament.sa.gov.au/Detail.aspx?pid=3609,Arthur,Mr,Sturt,House of Assembly,National Party
Blacker,https://members.parliament.sa.gov.au/Detail.aspx?pid=2497,Peter,Mr,Flinders,House of Assembly,Represented multiple parties
Blacker,https://members.parliament.sa.gov.au/Detail.aspx?pid=3610,William,Mr,Served in Multiple Electorates,House of Assembly,Unknown
Blackwell,https://members.parliament.sa.gov.au/Detail.aspx?pid=3611,Alfred,Mr,West Torrens,House of Assembly,Unknown
Blesing,https://members.parliament.sa.gov.au/Detail.aspx?pid=4068,Albert,Mr,Served in Multiple Electorates,Legislative Council,Represented multiple parties
Blevins,https://members.parliament.sa.gov.au/Detail.aspx?pid=2498,Frank,Hon,Served in Multiple Electorates,Represented multiple houses,Australian Labor Party
Blundell,https://members.parliament.sa.gov.au/Detail.aspx?pid=3612,Reginald,Mr,Adelaide,House of Assembly,Unknown
Blyth,https://members.parliament.sa.gov.au/Detail.aspx?pid=3571,Neville,Mr,Served in Multiple Electorates,House of Assembly,Unknown
Blyth KCMG CB,https://members.parliament.sa.gov.au/Detail.aspx?pid=4200,Sir Arthur,Hon,Served in Multiple Electorates,Represented multiple houses,Pre-Party System
Bockelberg,https://members.parliament.sa.gov.au/Detail.aspx?pid=3572,George,Mr,Eyre,House of Assembly,LCL
Bodey,https://members.parliament.sa.gov.au/Detail.aspx?pid=3573,George,Mr,Victoria and Albert,House of Assembly,Unknown
Bonney,https://members.parliament.sa.gov.au/Detail.aspx?pid=4201,Charles,Mr,Served in Multiple Electorates,Represented multiple houses,Unknown
Boothby,https://members.parliament.sa.gov.au/Detail.aspx?pid=3574,Thomas,Mr,Victoria,House of Assembly,Unknown
Bosworth,https://members.parliament.sa.gov.au/Detail.aspx?pid=4202,John,Mr,Served in Multiple Electorates,Represented multiple houses,Unknown
Botterill,https://members.parliament.sa.gov.au/Detail.aspx?pid=4034,Joseph,Mr,Served in Multiple Electorates,Legislative Council,Unknown
Boucaut KCMG KC,https://members.parliament.sa.gov.au/Detail.aspx?pid=3575,Sir James,Hon,Served in Multiple Electorates,House of Assembly,Pre-Party System
Boundy,https://members.parliament.sa.gov.au/Detail.aspx?pid=2499,David,Mr,Goyder,House of Assembly,Liberal Party
Bowden,https://members.parliament.sa.gov.au/Detail.aspx?pid=3576,Horace,Mr,Gouger,House of Assembly,Unknown
Bower,https://members.parliament.sa.gov.au/Detail.aspx?pid=3577,David,Mr,Port Adelaide,House of Assembly,Unknown
Bray KCMG,https://members.parliament.sa.gov.au/Detail.aspx?pid=3654,Sir John,Hon,East Adelaide,House of Assembly,Pre-Party System
Bressington,https://members.parliament.sa.gov.au/Detail.aspx?pid=3128,Ann,Hon,Unknown,Legislative Council,Independent
Breuer OAM,https://members.parliament.sa.gov.au/Detail.aspx?pid=619,Lyn,Hon,Giles,House of Assembly,Australian Labor Party
Bright,https://members.parliament.sa.gov.au/Detail.aspx?pid=4203,Henry,Mr,Served in Multiple Electorates,Represented multiple houses,Unknown
Brindal,https://members.parliament.sa.gov.au/Detail.aspx?pid=557,Mark,Mr,Served in Multiple Electorates,House of Assembly,Liberal Party
Brokenshire,https://members.parliament.sa.gov.au/Detail.aspx?pid=3489,Robert,Mr,Unknown,Represented multiple houses,Represented multiple parties
Brooker,https://members.parliament.sa.gov.au/Detail.aspx?pid=3655,Thomas,Mr,Served in Multiple Electorates,House of Assembly,Unknown
Brookman,https://members.parliament.sa.gov.au/Detail.aspx?pid=3656,David,Hon,Alexandra,House of Assembly,LCL
Brookman,https://members.parliament.sa.gov.au/Detail.aspx?pid=4036,Norman,Mr,Served in Multiple Electorates,Legislative Council,Liberal and Country League
Brookman KBE,https://members.parliament.sa.gov.au/Detail.aspx?pid=4035,Sir George, ,Served in Multiple Electorates,Legislative Council,Unknown
Broomhill,https://members.parliament.sa.gov.au/Detail.aspx?pid=2500,Glen,Hon,Served in Multiple Electorates,House of Assembly,Australian Labor Party
Brown,https://members.parliament.sa.gov.au/Detail.aspx?pid=3657,John,Mr,Northern Territory,House of Assembly,Liberal Party
Brown,https://members.parliament.sa.gov.au/Detail.aspx?pid=2501,Maxwell,Mr,Whyalla,House of Assembly,Australian Labor Party
Brown AO,https://members.parliament.sa.gov.au/Detail.aspx?pid=547,Dean,Hon,Served in Multiple Electorates,House of Assembly,Liberal Party
Browne,https://members.parliament.sa.gov.au/Detail.aspx?pid=3658,William,Mr,Served in Multiple Electorates,House of Assembly,Unknown
Bruce,https://members.parliament.sa.gov.au/Detail.aspx?pid=2597,Gordon,Hon,Served in Multiple Electorates,Legislative Council,Australian Labor Party
Bruce,https://members.parliament.sa.gov.au/Detail.aspx?pid=4037,Theodore,Mr,Served in Multiple Electorates,Legislative Council,Unknown
Buckby,https://members.parliament.sa.gov.au/Detail.aspx?pid=556,Malcolm,Hon,Served in Multiple Electorates,House of Assembly,Liberal Party
Bucknall,https://members.parliament.sa.gov.au/Detail.aspx?pid=3659,Frederick,Mr,West Torrens,House of Assembly,Unknown
Buik,https://members.parliament.sa.gov.au/Detail.aspx?pid=4038,William,Mr,unknown,Legislative Council,Unknown
Bundey KC,https://members.parliament.sa.gov.au/Detail.aspx?pid=3660,Sir William,Hon,Served in Multiple Electorates,House of Assembly,Unknown
Burdett,https://members.parliament.sa.gov.au/Detail.aspx?pid=2584,John,Mr,Served in Multiple Electorates,Legislative Council,Liberal Party
Burdon,https://members.parliament.sa.gov.au/Detail.aspx?pid=2610,Allan,Mr,Mount Gambier,House of Assembly,Australian Labor Party
Burford,https://members.parliament.sa.gov.au/Detail.aspx?pid=3661,William,Mr,City of Adelaide,House of Assembly,Unknown
Burgoyne,https://members.parliament.sa.gov.au/Detail.aspx?pid=3662,Thomas,Mr,Served in Multiple Electorates,House of Assembly,Unknown
Butler,https://members.parliament.sa.gov.au/Detail.aspx?pid=3664,Sir Richard,Hon,Served in Multiple Electorates,House of Assembly,Represented multiple parties
Butler KCMG,https://members.parliament.sa.gov.au/Detail.aspx?pid=3663,Sir Richard L.,Hon,Served in Multiple Electorates,House of Assembly,Represented multiple parties
Butterfield,https://members.parliament.sa.gov.au/Detail.aspx?pid=3665,Thomas,Hon,Newcastle,House of Assembly,Unknown
Buxton,https://members.parliament.sa.gov.au/Detail.aspx?pid=3666,Henry,Mr,Burra Burra,House of Assembly,Unknown
Byrne OAM,https://members.parliament.sa.gov.au/Detail.aspx?pid=2502,Molly,Mrs,Served in Multiple Electorates,House of Assembly,Australian Labor Party
Bywaters,https://members.parliament.sa.gov.au/Detail.aspx?pid=2503,Gabriel,Hon,Murray,House of Assembly,Australian Labor Party
Caica,https://members.parliament.sa.gov.au/Detail.aspx?pid=1802,Paul,Hon,Colton,House of Assembly,Australian Labor Party
Caldwell,https://members.parliament.sa.gov.au/Detail.aspx?pid=3691,Robert,Mr,Served in Multiple Electorates,House of Assembly,Unknown
Cameron,https://members.parliament.sa.gov.au/Detail.aspx?pid=3692,Archie,Hon,Wooroora,House of Assembly,Represented multiple parties
Cameron,https://members.parliament.sa.gov.au/Detail.aspx?pid=2504,Martin,Hon,Served in Multiple Electorates,Legislative Council,Liberal Party
Cameron,https://members.parliament.sa.gov.au/Detail.aspx?pid=569,Terry,Hon,Served in Multiple Electorates,Legislative Council,Independent
Campbell,https://members.parliament.sa.gov.au/Detail.aspx?pid=4048,Allan,Mr,Served in Multiple Electorates,Legislative Council,Unknown
Campbell,https://members.parliament.sa.gov.au/Detail.aspx?pid=3649,Donald,Mr,Victoria and Albert,House of Assembly,Labor Party (Senate)
Campbell,https://members.parliament.sa.gov.au/Detail.aspx?pid=4049,Norman,Mr,unknown,Legislative Council,Unknown
Carnie,https://members.parliament.sa.gov.au/Detail.aspx?pid=2505,John,Hon,Served in Multiple Electorates,Represented multiple houses,Represented multiple parties
Carpenter,https://members.parliament.sa.gov.au/Detail.aspx?pid=3650,William,Mr,Encounter Bay,House of Assembly,Unknown
Carr,https://members.parliament.sa.gov.au/Detail.aspx?pid=3641,John,Hon,Served in Multiple Electorates,House of Assembly,Unknown
Carr,https://members.parliament.sa.gov.au/Detail.aspx?pid=4050,John,Mr,Served in Multiple Electorates,Legislative Council,Australian Labor Party
Carroll,https://members.parliament.sa.gov.au/Detail.aspx?pid=3652,Frank,Mr,Light,House of Assembly,Unknown
Carter,https://members.parliament.sa.gov.au/Detail.aspx?pid=3653,Reginald,Mr,Burra Burra,House of Assembly,Unknown
Casey,https://members.parliament.sa.gov.au/Detail.aspx?pid=2506,Thomas,Hon,Served in Multiple Electorates,Represented multiple houses,Australian Labor Party
Cashmore AM,https://members.parliament.sa.gov.au/Detail.aspx?pid=2507,Jennifer,Hon,Coles,House of Assembly,Liberal Party
Castine,https://members.parliament.sa.gov.au/Detail.aspx?pid=4051,Ernest,Hon,Served in Multiple Electorates,Legislative Council,Unknown
Castine,https://members.parliament.sa.gov.au/Detail.aspx?pid=3693,John,Mr,Wooroora,House of Assembly,Unknown
Catt,https://members.parliament.sa.gov.au/Detail.aspx?pid=3694,Alfred,Hon,Served in Multiple Electorates,House of Assembly,Unknown
Caudell,https://members.parliament.sa.gov.au/Detail.aspx?pid=2508,Colin,Mr,Mitchell,House of Assembly,Liberal Party
Cavenagh,https://members.parliament.sa.gov.au/Detail.aspx?pid=3622,Wentworth,Hon,Yatala,House of Assembly,Unknown
Chapman,https://members.parliament.sa.gov.au/Detail.aspx?pid=3623,John,Mr,Flinders,House of Assembly,Unknown
Chapman,https://members.parliament.sa.gov.au/Detail.aspx?pid=2509,Ted,Hon,Alexandra,House of Assembly,Liberal Party
Charleston,https://members.parliament.sa.gov.au/Detail.aspx?pid=4052,David,Hon,Served in Multiple Electorates,Legislative Council,Free Trade
Chatterton,https://members.parliament.sa.gov.au/Detail.aspx?pid=2510,Brian,Hon,Served in Multiple Electorates,Legislative Council,Australian Labor Party
Cheriton,https://members.parliament.sa.gov.au/Detail.aspx?pid=3642,John,Mr,Mount Barker,House of Assembly,Unknown
Chesson,https://members.parliament.sa.gov.au/Detail.aspx?pid=3643,Henry,Mr,Served in Multiple Electorates,House of Assembly,Unknown
Christian,https://members.parliament.sa.gov.au/Detail.aspx?pid=3644,Arthur,Mr,Served in Multiple Electorates,House of Assembly,LCL
Ciccarello,https://members.parliament.sa.gov.au/Detail.aspx?pid=537,Vini,Ms,Served in Multiple Electorates,House of Assembly,Australian Labor Party
Clark,https://members.parliament.sa.gov.au/Detail.aspx?pid=3645,John,Mr,Served in Multiple Electorates,House of Assembly,Australian Labor Party
Clarke,https://members.parliament.sa.gov.au/Detail.aspx?pid=3646,Geoffrey,Mr,Burnside,House of Assembly,LCL
Clarke,https://members.parliament.sa.gov.au/Detail.aspx?pid=624,Ralph,Mr,Ross Smith,House of Assembly,Represented multiple parties
Cock,https://members.parliament.sa.gov.au/Detail.aspx?pid=3647,James,Mr,Victoria,House of Assembly,Unknown
Cockburn KCMG,https://members.parliament.sa.gov.au/Detail.aspx?pid=3702,Sir John,Hon,Served in Multiple Electorates,House of Assembly,Represented multiple parties
Coglin,https://members.parliament.sa.gov.au/Detail.aspx?pid=3703,Patrick,Mr,Served in Multiple Electorates,House of Assembly,Unknown
Cohen,https://members.parliament.sa.gov.au/Detail.aspx?pid=3704,Sir Lewis, ,Served in Multiple Electorates,House of Assembly,Unknown
Cole,https://members.parliament.sa.gov.au/Detail.aspx?pid=3705,George,Mr,Served in Multiple Electorates,House of Assembly,Unknown
Cole,https://members.parliament.sa.gov.au/Detail.aspx?pid=3706,James,Mr,West Torrens,House of Assembly,Unknown
Cole,https://members.parliament.sa.gov.au/Detail.aspx?pid=3707,William,Mr,Served in Multiple Electorates,House of Assembly,Unknown
Coles,https://members.parliament.sa.gov.au/Detail.aspx?pid=3578,Edward,Mr,Flinders,House of Assembly,Unknown
Coles KCMG,https://members.parliament.sa.gov.au/Detail.aspx?pid=3613,Sir Jenkin,Hon,Served in Multiple Electorates,House of Assembly,Pre-Party System
Collaton,https://members.parliament.sa.gov.au/Detail.aspx?pid=3614,Martin,Mr,Adelaide,House of Assembly,Unknown
Collins,https://members.parliament.sa.gov.au/Detail.aspx?pid=3615,Clement,Mr,Murray,House of Assembly,Unknown
Collinson,https://members.parliament.sa.gov.au/Detail.aspx?pid=3616,Edward,Mr,Port Adelaide,House of Assembly,Unknown
Colton KCMG,https://members.parliament.sa.gov.au/Detail.aspx?pid=3631,Sir John,Hon,Noarlunga,House of Assembly,Pre-Party System
Condon CMG,https://members.parliament.sa.gov.au/Detail.aspx?pid=4204,Francis,Mr,Served in Multiple Electorates,Represented multiple houses,Australian Labor Party
Condous AM,https://members.parliament.sa.gov.au/Detail.aspx?pid=628,Steve,Mr,Served in Multiple Electorates,House of Assembly,Liberal Party
Coneybeer,https://members.parliament.sa.gov.au/Detail.aspx?pid=3562,Frederick,Hon,Served in Multiple Electorates,House of Assembly,Represented multiple parties
Conlon,https://members.parliament.sa.gov.au/Detail.aspx?pid=526,Patrick,Hon,Elder,House of Assembly,Australian Labor Party
Connelly,https://members.parliament.sa.gov.au/Detail.aspx?pid=2511,Ted,Mr,Pirie,House of Assembly,Represented multiple parties
Conner,https://members.parliament.sa.gov.au/Detail.aspx?pid=3563,Mountifort,Mr,Served in Multiple Electorates,House of Assembly,Unknown
Connor,https://members.parliament.sa.gov.au/Detail.aspx?pid=3564,George,Mr,Alexandra,House of Assembly,Unknown
Cooke,https://members.parliament.sa.gov.au/Detail.aspx?pid=3579,Ebenezer,Mr,Flinders,House of Assembly,Unknown
Cooke,https://members.parliament.sa.gov.au/Detail.aspx?pid=3580,George,Mr,Barossa,House of Assembly,Unknown
Cooke,https://members.parliament.sa.gov.au/Detail.aspx?pid=4234,John,Hon,Served in Multiple Electorates,Legislative Council,Unknown
Coombe,https://members.parliament.sa.gov.au/Detail.aspx?pid=3581,Ephraim,Mr,Barossa,House of Assembly,Unknown
Cooper,https://members.parliament.sa.gov.au/Detail.aspx?pid=2585,Jessie,Hon,Served in Multiple Electorates,Legislative Council,Liberal Party
Copley,https://members.parliament.sa.gov.au/Detail.aspx?pid=4205,William,Mr,Served in Multiple Electorates,Represented multiple houses,Unknown
Corcoran,https://members.parliament.sa.gov.au/Detail.aspx?pid=4235,James,Mr,Served in Multiple Electorates,House of Assembly,Australian Labor Party
Corcoran AO,https://members.parliament.sa.gov.au/Detail.aspx?pid=2512,Des,Hon,Served in Multiple Electorates,House of Assembly,Australian Labor Party
Cornwall OAM,https://members.parliament.sa.gov.au/Detail.aspx?pid=2513,John,Hon Dr,Served in Multiple Electorates,Legislative Council,Australian Labor Party
Cotton,https://members.parliament.sa.gov.au/Detail.aspx?pid=4069,George,Hon,Served in Multiple Electorates,Legislative Council,Unknown
Cottrell,https://members.parliament.sa.gov.au/Detail.aspx?pid=3721,Robert,Mr,East Adelaide,House of Assembly,Unknown
Coumbe AM,https://members.parliament.sa.gov.au/Detail.aspx?pid=3722,John,Mr,Served in Multiple Electorates,House of Assembly,LCL
Cowan,https://members.parliament.sa.gov.au/Detail.aspx?pid=3723,James,Mr,Yatala,House of Assembly,Unknown
Cowan,https://members.parliament.sa.gov.au/Detail.aspx?pid=4071,John,Mr,Served in Multiple Electorates,Legislative Council,LCL
Cowan,https://members.parliament.sa.gov.au/Detail.aspx?pid=4070,Sir John,Hon,Served in Multiple Electorates,Legislative Council,Liberal and Country League
Cowan,https://members.parliament.sa.gov.au/Detail.aspx?pid=3724,Thomas,Mr,Yatala,House of Assembly,Unknown
Crafter AO,https://members.parliament.sa.gov.au/Detail.aspx?pid=2514,Greg,Hon,Norwood,House of Assembly,Australian Labor Party
Craigie,https://members.parliament.sa.gov.au/Detail.aspx?pid=3725,Edward,Mr,Flinders,House of Assembly,Independent
Creedon,https://members.parliament.sa.gov.au/Detail.aspx?pid=2515,Cecil,Hon,Served in Multiple Electorates,Legislative Council,Australian Labor Party
Crimes,https://members.parliament.sa.gov.au/Detail.aspx?pid=3726,Ernest,Mr,Spence,House of Assembly,Australian Labor Party
Critchley,https://members.parliament.sa.gov.au/Detail.aspx?pid=3727,John,Mr,Burra Burra,House of Assembly,Unknown
Crosby,https://members.parliament.sa.gov.au/Detail.aspx?pid=3728,Henry,Mr,Barossa,House of Assembly,Unknown
Crothers,https://members.parliament.sa.gov.au/Detail.aspx?pid=566,Trevor,Hon,Served in Multiple Electorates,Legislative Council,Independent
Crozier,https://members.parliament.sa.gov.au/Detail.aspx?pid=4072,John,Mr,Served in Multiple Electorates,Legislative Council,Unknown
Crush,https://members.parliament.sa.gov.au/Detail.aspx?pid=3729,Thomas,Mr,Northern Territory,House of Assembly,Unknown
Cudmore,https://members.parliament.sa.gov.au/Detail.aspx?pid=4073,Sir Collier,Hon,Served in Multiple Electorates,Legislative Council,Represented multiple parties
Cummins,https://members.parliament.sa.gov.au/Detail.aspx?pid=2516,John,Mr,Norwood,House of Assembly,Liberal Party
Cummins,https://members.parliament.sa.gov.au/Detail.aspx?pid=3730,William,Mr,Stanley,House of Assembly,Unknown
Curren,https://members.parliament.sa.gov.au/Detail.aspx?pid=2601,Arthur,Hon,Chaffey,House of Assembly,Australian Labor Party
Dale,https://members.parliament.sa.gov.au/Detail.aspx?pid=3731,Robert,Mr,Served in Multiple Electorates,House of Assembly,Unknown
Dale,https://members.parliament.sa.gov.au/Detail.aspx?pid=3732,William,Mr,The Burra and Clare,House of Assembly,Unknown
Dankel,https://members.parliament.sa.gov.au/Detail.aspx?pid=3733,George,Mr,Torrens,House of Assembly,Unknown
Darling Jnr,https://members.parliament.sa.gov.au/Detail.aspx?pid=3734,John,Mr,Served in Multiple Electorates,House of Assembly,Unknown
Darling Snr,https://members.parliament.sa.gov.au/Detail.aspx?pid=4206,John,Mr,Served in Multiple Electorates,Represented multiple houses,Unknown
Dashwood,https://members.parliament.sa.gov.au/Detail.aspx?pid=3735,Charles,Mr,Noarlunga,House of Assembly,Unknown
Dashwood,https://members.parliament.sa.gov.au/Detail.aspx?pid=4074,George,Mr,Served in Multiple Electorates,Legislative Council,Unknown
Davenport,https://members.parliament.sa.gov.au/Detail.aspx?pid=4075,Robert,Mr,Served in Multiple Electorates,Legislative Council,Unknown
Davenport KCMG,https://members.parliament.sa.gov.au/Detail.aspx?pid=4076,Sir Samuel, ,Served in Multiple Electorates,Legislative Council,Unknown
Davies,https://members.parliament.sa.gov.au/Detail.aspx?pid=4077,Charles,Mr,Served in Multiple Electorates,Legislative Council,Unknown
Davies,https://members.parliament.sa.gov.au/Detail.aspx?pid=3695,Daniel,Mr,Yorke Peninsula,House of Assembly,Unknown
Davis,https://members.parliament.sa.gov.au/Detail.aspx?pid=3696,Charles,Mr,Port Pirie,House of Assembly,Australian Labor Party
Davis,https://members.parliament.sa.gov.au/Detail.aspx?pid=598,Legh,Hon,Served in Multiple Electorates,Legislative Council,Liberal Party
Dawes,https://members.parliament.sa.gov.au/Detail.aspx?pid=3697,Edgar,Mr,Sturt,House of Assembly,Australian Labor Party
Dawes,https://members.parliament.sa.gov.au/Detail.aspx?pid=3698,William,Mr,Onkaparinga,House of Assembly,Unknown
